Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
The Nativity,MARTIN SCHONGAUER,"USD 138,600","USD 100,000 - 150,000",N/A,165 x 165 mm,Germany,1445-1491,Engraving,Engraving
The Holy Family with the three Hares,ALBRECHT DÜRER,,"USD 70,000 - 100,000",N/A,389 x 281 mm,Germany,1471-1528,Engraving,Engraving
Saint Eustace,ALBRECHT DÜRER,"USD 453,600","USD 200,000 - 300,000",N/A,358 x 262 mm,Germany,1471-1528,Engraving,Engraving
Melencolia I,ALBRECHT DÜRER,"USD 882,000","USD 300,000 - 500,000",N/A,240 x 189 mm,Germany,1471-1528,Engraving,Engraving
Abraham and Isaac,LUCAS VAN LEYDEN,"USD 81,900","USD 30,000 - 50,000",N/A,287 x 214 mm,Netherlands,1494-1533,Engraving,Engraving
The Dance of Saint Mary Magdalene,LUCAS VAN LEYDEN,"USD 40,320","USD 30,000 - 50,000",N/A,288 x 395 mm,Netherlands,1494-1533,Engraving,Engraving
River Landscape with Rocks at Left and Right,AUGUSTIN HIRSCHVOGEL,"USD 31,500","USD 25,000 - 35,000",N/A,8 x 7 in,Germany,1503-1553,Engraving,Engraving
"Mountainous Landscape, in the Middle a River and a Citadel",HANNS LAUTENSACK,"USD 10,080","USD 8,000 - 12,000",N/A,170 x 112 mm,Germany,1520-1566,Engraving,Engraving
"La bête a sept têtes et a dix cornes (The Beast with Seven Heads and Ten Horns), from: L'Apocalypse figurée",JEAN DUVET,"USD 60,480","USD 25,000 - 35,000",N/A,306 x 222 mm,France,1485-1570,Engraving,Engraving
"Euntes in Emmaus (The Way to Emmaus), from: The Large Landscapes",JOANNES VAN DOETECUM THE ELDER  AND LUCAS VAN DOETECUM  AFTER PIETER BRUEGEL THE ELDER,"USD 18,900","USD 7,000 - 10,000",N/A,324 x 430 mm,Unknown,Период не найден,Engraving,Engraving
Hercules killing Cacus,HENDRICK GOLTZIUS,"USD 47,880","USD 30,000 - 50,000",N/A,8 x 13 in,Netherlands,1558-1617,Engraving,Engraving
Ceres seeking her Daughter,HENDRIK GOUDT  AFTER ADAM ELSHEIMER,"USD 16,380","USD 4,000 - 6,000",N/A,318 x 247 mm,Unknown,1583-1648,Engraving,Engraving
Les trois Maries au tombeau (The Holy Women at the Sepulchre),JACQUES BELLANGE,"USD 88,200","USD 50,000 - 70,000",N/A,444 x 292 mm,France,1575-1616,Engraving,Engraving
La Foire de l'Impruneta (Deuxième Planche),JACQUES CALLOT,"USD 16,380","USD 4,000 - 6,000",N/A,420 x 665 mm,France,1592-1635,Engraving,Engraving
Saint Catherine,PETER PAUL RUBENS,"USD 27,720","USD 12,000 - 18,000",N/A,294 x 198 mm,Flanders (modern Belgium),1577-1640,Engraving,Engraving
Jan de Wael,ANTHONY VAN DYCK,"USD 15,120","USD 12,000 - 18,000",N/A,10 x 7 in,Flanders (modern Belgium),1599-1641,Engraving,Engraving
The Garden of Love,CHRISTOFFEL JEGHER  AFTER PETER PAUL RUBENS,"USD 15,120","USD 6,000 - 8,000",N/A,460 x 588 mm,Unknown,1596-1653,Engraving,Engraving
Landscape with three gabled Cottages beside a Road,REMBRANDT HARMENSZ. VAN RIJN,"USD 226,800","USD 150,000 - 250,000",N/A,8 x 8 in,Netherlands,1606-1669,Engraving,Engraving
A Scholar in his Study ('Faust'),REMBRANDT HARMENSZ. VAN RIJN,"USD 252,000","USD 120,000 - 180,000",N/A,210 x 158 mm,Netherlands,1606-1669,Engraving,Engraving
Christ crucified between the two Thieves: 'The Three Crosses',REMBRANDT HARMENSZ. VAN RIJN,"USD 1,381,000","USD 1,000,000 - 1,500,000",N/A,385 x 452 mm,Netherlands,1606-1669,Engraving,Engraving
The Entombment,REMBRANDT HARMENSZ. VAN RIJN,"USD 226,800","USD 100,000 - 150,000",N/A,211 x 161 mm,Netherlands,1606-1669,Engraving,Engraving
"Jan Lutma, Goldsmith",REMBRANDT HARMENSZ. VAN RIJN,"USD 277,200","USD 150,000 - 250,000",N/A,198 x 149 mm,Netherlands,1606-1669,Engraving,Engraving
"Imaginary View of Padua, from: Vedute altre prese da i luoghi altre ideate da Antonio Canal","ANTONIO CANAL, CALLED CANALETTO","USD 27,720","USD 15,000 - 25,000",N/A,299 x 434 mm,Italy,1697-1768,Engraving,Engraving
Adoration of the Magi,GIOVANNI BATTISTA TIEPOLO,"USD 27,720","USD 7,000 - 10,000",N/A,432 x 291 mm,Italy,1696-1770,Engraving,Engraving
