название;имя_художника;стоимость;примерная_оценка;материал;размер;страна;период;стиль;жанр
Le Petit Vent du Nord;LOUIS WELDEN HAWKINS;GBP 12,600;GBP 10,000 - 15,000;;37.8 x 26.7 cm;FRENCH;1849-1910;Realism;Modern Art
Full-length nude study of Mary Best for 'Tristram and Yseult';HERBERT JAMES DRAPER;GBP 25,200;GBP 25,000 - 35,000;;76.2 x 41.3 cm;BRITISH;1864-1920;Realism;Nude
Head study of Dorothy Dene, in profile, for 'Faith';FREDERIC, LORD LEIGHTON, P.R.A., R.W.S.;GBP 12,600;GBP 12,000 - 18,000;;33 x 27.6 cm;BRITISH;1830-1896;Realism;Modern Art
The Sluggard;Frederic, Lord Leighton, P.R.A., R.W.S.;GBP 21,420;GBP 20,000 - 30,000;bronze, brown patina;;BRITISH;1830-1896;Realism;Modern Art
Portrait of Cyril Flower, Lord Battersea;ANTHONY FREDERICK AUGUSTUS SANDYS, A.R.A.;GBP 44,100;GBP 30,000 - 50,000;;64.8 x 52.5 cm;BRITISH;1829-1904;Realism;Portrait
Head of Miss Margaret Elizabeth Benson (later Mrs Margaret Drummond, 1856-1941);SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S.;GBP 11,340;GBP 12,000 - 18,000;;26 x 13.6 cm;BRITISH;1833-1898;Realism;Modern Art
Tristram and Isolde;EDMUND BLAIR LEIGHTON;GBP 10,710;GBP 12,000 - 18,000;oil on panel;15.5 x 27.3 cm;BRITISH;1853-1922;Realism;Modern Art
Das Frauenbad am Felsentor;KARL MEDIZ;GBP 25,200;GBP 30,000 - 50,000;oil on canvas;153.4 x 155.5 cm;GERMAN;1868-1944;Realism;Modern Art
Eros;EDGARD MAXENCE;GBP 1,890;GBP 6,000 - 8,000;oil on panel;28.9 x 41.7 cm;FRENCH;1871-1954;Realism;Modern Art
Mermaid rising from the sea;HENRY JOHN STOCK, R.I., R.O.I.;GBP 9,450;GBP 4,000 - 6,000;;37.5 x 26.7 cm;BRITISH;1853-1930;Realism;Modern Art
Sea Melodies;HERBERT JAMES DRAPER;GBP 37,800;GBP 20,000 - 30,000;oil on panel, painted oval;34.9 x 24.8 cm;BRITISH;1854-1920;Realism;Modern Art
Arctic Encounter;ARTHUR WARDLE, R.I.;GBP 16,380;GBP 10,000 - 15,000;oil on board;34 x 25.5 cm;BRITISH;1864-1949;Realism;Modern Art
Two female nude studies for 'The Lament for Icarus';HERBERT JAMES DRAPER;;GBP 3,000 - 5,000;;16.5 x 14 cm;BRITISH;1864-1920;Realism;Nude
Madonna of the Peach Tree;SIR GEORGE FRAMPTON, R.A.;GBP 6,300;GBP 6,000 - 8,000;15 ¼ in. (38.7 cm.) high, the bronze\; 22 ¾ in. (57.8 cm.) high, including the plinth;;BRITISH;1860-1928;Realism;Modern Art
