Название;Имя художника;Стоимость;Примерная оценка;Размер;Страна;Период;Стиль
Landscape / Calligraphic Couplet;FENG YIYIN;HKD 22,680;HKD 12,000 - 18,000;33.5 x 53 cm;CHINA;1929-2021;Traditional Chinese Art
Dragon;DING YANYONG;HKD 94,500;HKD 60,000 - 80,000;38.5 x 312.9 cm;CHINA;1902-1978;Traditional Chinese Art
Arhat;DING YANYONG;HKD 37,800;HKD 30,000 - 50,000;99.2 x 38.6 cm;CHINA;1902-1978;Traditional Chinese Art
Kongzi Inquiring About the Rites;DING YANYONG;HKD 25,200;HKD 20,000 - 40,000;84.1 x 38.6 cm;CHINA;1902-1978;Traditional Chinese Art
Birds on Pine Tree;DING YANYONG;HKD 25,200;HKD 20,000 - 40,000;68.5 x 34 cm;CHINA;1902-1978;Traditional Chinese Art
A Flower in a Haze;WANG DONGLING;;HKD 30,000 - 50,000;64.5 x 67.6 cm;CHINA;B. 1945;Traditional Chinese Art
Running Horses;HUANG JIN;HKD 126,000;HKD 160,000 - 180,000;49.3 x 89.5 cm;CHINA;B. 1940;Traditional Chinese Art
Landscape No.881205;C. C. WANG (WANG JIQIAN, 1907-2003);HKD 37,800;HKD 35,000 - 45,000;30.5 x 47.3 cm;CHINA;;Traditional Chinese Art
Landscape;C. C. WANG (WANG JIQIAN, 1907-2003);HKD 47,880;HKD 35,000 - 45,000;66.5 x 86.7 cm;CHINA;;Traditional Chinese Art
Gazing at Spring;HE HUAISHUO;HKD 44,100;HKD 30,000 - 50,000;66.3 x 104.4 cm;CHINA;B. 1941;Traditional Chinese Art
New Face of Yangtze River;FANG ZHAOLING;HKD 50,400;HKD 40,000 - 60,000;98 x 48 cm;CHINA;1914-2006;Traditional Chinese Art
Scenery of Jiangnan;FANG JUN;HKD 6,048;HKD 28,000 - 38,000;47 x 44 cm;CHINA;1943-2020;Traditional Chinese Art
Mountain Hut;YANG YANWEN;HKD 75,600;HKD 10,000 - 20,000;68.5 x 68.5 cm;CHINA;1939-2019;Traditional Chinese Art
Untitled;LI HUAYI;HKD 7,560;HKD 20,000 - 30,000;67.5 x 121.4 cm;CHINA;B. 1948;Traditional Chinese Art
Gentleman in Brown;QIU YACAI (CHIU YA-TSAI, 1949-2013);HKD 126,000;HKD 60,000 - 100,000;144.8 x 90.4 cm;CHINA;;Traditional Chinese Art
Scholar Riding a Buffalo;FENG CHAORAN;HKD 151,200;HKD 40,000 - 60,000;95.3 x 46.6 cm;CHINA;1882-1954;Traditional Chinese Art
Grapes on Vine;WU CHANGSHUO;HKD 252,000;HKD 120,000 - 180,000;141.4 x 34.3 cm;CHINA;1844-1927;Traditional Chinese Art
Willow and Birds;WANG ZHEN;;HKD 20,000 - 30,000;146.5 x 40 cm;CHINA;1867-1938;Traditional Chinese Art
Chicken and Rock;WANG ZHEN;HKD 8,190;HKD 20,000 - 30,000;102 x 43.5 cm;CHINA;1867-1938;Traditional Chinese Art
Scent of Flowers by River;WANG GEYI;HKD 44,100;HKD 20,000 - 30,000;146 x 81.5 cm;CHINA;1896-1988;Traditional Chinese Art
Flowers and Rock;WANG GEYI;HKD 27,720;HKD 20,000 - 30,000;74 x 34.8 cm;CHINA;1896-1988;Traditional Chinese Art
Wisteria;ZHU QIZHAN;HKD 27,720;HKD 20,000 - 30,000;88.2 x 49.1 cm;CHINA;1892-1996;Traditional Chinese Art
