Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Mujer de Taxco,LUIS ARENAL,USD 504,USD 50 - 100,N/A,220 x 273 mm,Mexico,1909-1985,Mexican Muralism,Figurative
The Last Trumpet,BORIS ARTZYBASHEFF,"USD 4,788","USD 800 - 1,200",N/A,289 x 203 mm,United States,1899-1965,Illustration,Satirical
"Umbrella by the Sea, from Laurels Portfolio",MILTON AVERY,"USD 4,032","USD 4,000 - 6,000",N/A,120 x 184 mm,United States,1885-1965,Modernism,Figurative
Sailboat,MILTON AVERY,"USD 6,930","USD 3,000 - 5,000",N/A,191 x 302 mm,United States,1885-1965,Modernism,Figurative
The Stronghold,ALBERT BARKER,USD 504,USD 100 - 150,N/A,260 x 337 mm,United States,1874-1947,Realism,Urban Landscape
Skyline-Detroit,CHARLES BARKER,USD 630,USD 50 - 100,N/A,340 x 460 mm,United States,1878-1941,Realism,Urban Landscape
Man of Peace,LEONARD BASKIN,USD 126,"USD 800 - 1,200",N/A,1511 x 778 mm,United States,1922-2000,Expressionism,Figurative
A Spanish Good Friday (Ronda),MUIRHEAD BONE,"USD 1,134","USD 1,000 - 1,500",N/A,321 x 203 mm,United Kingdom,1876-1953,Realism,Landscape
Le vieux coq (The Old Cock),FÉLIX BRACQUEMOND,USD 252,"USD 1,000 - 1,500",N/A,283 x 248 mm,France,1833-1914,Impressionism,Animal and Landscape
The Tomato Pickers,HARRY BRODSKY,"USD 2,016","USD 800 - 1,200",N/A,502 x 349 mm,United States,1908-1997,Social Realism,Everyday Life
Lovers,HANS BURKHARDT,"USD 1,134","USD 1,000 - 1,500",N/A,9 x 12 in,United States,1904-1994,Abstract Expressionism,Abstract
Going South,PAUL CADMUS,,"USD 6,000 - 8,000",N/A,245 x 128 mm,United States,1904-1999,Social Realism,Figurative
"Two Boys on a Beach, No. 1",PAUL CADMUS,"USD 3,276","USD 3,000 - 5,000",N/A,130 x 180 mm,United States,1904-1999,Social Realism,Figurative
11:45 P.M.,LETTERIO CALAPAI,"USD 2,394","USD 2,000 - 3,000",N/A,502 x 299 mm,United States,1902-1993,Abstract Expressionism,Abstract
Tomb Stones,ADA GILMORE CHAFFEE,"USD 3,024","USD 4,000 - 6,000",N/A,287 x 245 mm,United States,1883-1955,American Modernism,Landscape
Tototte,EDGAR CHAHINE,USD 252,"USD 2,000 - 3,000",N/A,323 x 223 mm,France,1874-1947,Impressionism,Portrait and Genre Scenes
"Coney Island, from Lithographs of New York",GLENN COLEMAN,USD 756,"USD 800 - 1,200",N/A,305 x 441 mm,United States,1887-1932,Modernism,Urban Scenes
Edison Plant,HOWARD COOK,"USD 2,772","USD 1,500 - 2,000",N/A,337 x 248 mm,United States,1901-1980,Regionalism,Urban and Rural Scenes
Le petit berger (2e planche),JEAN-BAPTISTE CAMILLE COROT,"USD 1,134","USD 1,000 - 1,500",N/A,336 x 260 mm,France,1796-1875,Barbizon School,Landscape
The Lindy Hop,MIGUEL COVARRUBIAS,"USD 3,024","USD 2,000 - 3,000",N/A,327 x 244 mm,Mexico,1904-1957,Art Deco,Portraiture
Our Good Earth,JOHN STEUART CURRY,"USD 3,528","USD 1,500 - 2,000",N/A,324 x 257 mm,United States,1897-1946,Unknown,Unknown
Swinging at the Savoy,ADOLF ARTHUR DEHN,"USD 1,890","USD 800 - 1,200",N/A,314 x 451 mm,United States,1895-1968,Social Realism,Figurative
New York Night,ADOLF ARTHUR DEHN,USD 252,USD 500 - 700,N/A,483 x 337 mm,United States,1895-1968,Social Realism,Figurative
State Fair,STEVAN DOHANOS,USD 756,USD 400 - 600,N/A,321 x 225 mm,United States,1907-1994,Regionalism,Figurative
Connecticut Yankee,STEVAN DOHANOS,USD 378,USD 300 - 500,N/A,317 x 244 mm,United States,1907-1994,Regionalism,Figurative
Marsh Creek,ARTHUR WESLEY DOW,"USD 16,380","USD 3,000 - 5,000",N/A,108 x 178 mm,United States,1857-1922,Tonalism,Landscape
Moonrise,ARTHUR WESLEY DOW,"USD 8,820","USD 3,000 - 5,000",N/A,108 x 175 mm,United States,1857-1922,Tonalism,Landscape
"Bend of a River, Sunset",ARTHUR WESLEY DOW,"USD 8,190","USD 3,000 - 5,000",N/A,111 x 181 mm,United States,1857-1922,Tonalism,Landscape
It Can't Happen Here: Distorted Swastika,WERNER DREWES,"USD 1,638",USD 600 - 800,N/A,156 x 260 mm,Germany,1899-1985,Bauhaus,Abstract
"Mexican, from Variations on a Dance Motif",WERNER DREWES,USD 378,USD 600 - 800,N/A,250 x 400 mm,Germany,1899-1985,Bauhaus,Abstract
San Pietro in Castello (Small Plate),FRANK DUVENECK,"USD 2,016","USD 800 - 1,200",N/A,276 x 337 mm,United States,1848-1919,Realism,Portraiture
Self-Portrait (Portrait),MABEL DWIGHT,"USD 2,268","USD 1,500 - 2,000",N/A,267 x 210 mm,Unknown,1875-1955,Unknown,Unknown
"September 13, 1918, St. Mihiel (The Great Black Cloud)",KERR EBY,"USD 2,772","USD 3,000 - 5,000",N/A,265 x 403 mm,Canada,1890-1946,Realism,Landscape
Plural Detail,LEONARD EDMONDSON,USD 756,USD 300 - 500,N/A,279 x 343 mm,United States,1916-2002,Abstract Expressionism,Abstract
City Lights,FRITZ EICHENBERG,USD 630,"USD 800 - 1,200",N/A,156 x 121 mm,Germany,1901-1990,Expressionism,Illustration
The Subway,FRITZ EICHENBERG,"USD 1,134","USD 800 - 1,200",N/A,156 x 121 mm,Germany,1901-1990,Expressionism,Illustration
"Heathcliff under the Tree, from Wuthering Heights",FRITZ EICHENBERG,USD 189,"USD 800 - 1,200",N/A,260 x 178 mm,Germany,1901-1990,Expressionism,Illustration
Radiance,WHARTON ESHERICK,"USD 2,394",USD 600 - 800,N/A,212 x 216 mm,United States,1887-1970,Arts and Crafts,Sculpture
Sea Forms,JOHN FERREN,"USD 8,190","USD 3,000 - 5,000",N/A,368 x 368 mm,United States,1905-1970,Abstract Expressionism,Abstract
California No. 1 - Salinas River,FRANK MORLEY FLETCHER,"USD 5,292","USD 3,000 - 5,000",N/A,324 x 429 mm,United Kingdom,1866-1949,Modernism,Printmaking
First-Night Ovation,DON FREEMAN,USD 630,"USD 800 - 1,200",N/A,292 x 349 mm,United States,1908-1978,Social Realism,Everyday Life
3 A.M.,ISAC FRIEDLANDER,"USD 1,260",USD 600 - 800,N/A,238 x 397 mm,United States,1890-1968,Modernism,Printmaking
Spring in the Garden (Spring II),WANDA GÁG,"USD 2,268","USD 1,000 - 1,500",N/A,251 x 327 mm,United States,1893-1946,Modernism,Illustration
Evening,WANDA GÁG,"USD 1,386","USD 800 - 1,200",N/A,206 x 302 mm,United States,1893-1946,Modernism,Illustration
Washington's Birthday - Fifth Avenue & 23d Street,CHILDE HASSAM,"USD 8,820","USD 3,000 - 5,000",N/A,326 x 180 mm,United States,1859-1935,Impressionism,Urban and Landscape
Amazon,STANLEY WILLIAM HAYTER,"USD 5,292","USD 3,000 - 5,000",N/A,619 x 400 mm,United Kingdom,1901-1988,Surrealism,Abstract
Out of the Pit,RIVA HELFOND,"USD 2,142","USD 1,000 - 1,500",N/A,279 x 365 mm,United States,1910-2002,Social Realism,Figurative
"Snap-the-Whip, from Harper's Weekly",AFTER WINSLOW HOMER,USD 63,USD 200 - 300,N/A,343 x 521 mm,United States,1836-1910,Realism,Marine and Landscape
"The Dinner Horn, from Harper's Weekly",AFTER WINSLOW HOMER,USD 63,USD 200 - 300,N/A,349 x 229 mm,United States,1836-1910,Realism,Marine and Landscape
Harper's Weekly: Six Prints,AFTER WINSLOW HOMER,USD 63,"USD 800 - 1,200",N/A,232 x 352 mm,United States,1836-1910,Realism,Marine and Landscape
Two Prints by the Artist,AFTER WINSLOW HOMER,USD 63,USD 400 - 600,N/A,346 x 232 mm,United States,1836-1910,Realism,Marine and Landscape
The Bath,HELEN HYDE,USD 504,USD 200 - 300,N/A,410 x 257 mm,United States,1868-1919,Modernism,Printmaking
"Église de Chailly, près Barbizon",MAURICE JACQUE,USD 504,USD 50 - 100,N/A,162 x 225 mm,France,19TH CENTURY,Academic Art,Figurative
Missouri Wheat Farmers,JOE JONES,"USD 1,008","USD 1,500 - 2,000",N/A,251 x 200 mm,United States,1909-1963,Social Realism,Everyday Life
Memory,ROCKWELL KENT,"USD 1,764",USD 300 - 500,N/A,371 x 486 mm,United States,1882-1971,Modernism,Landscape
Christmas Eve-Taos Pueblo,GENE KLOSS,"USD 2,520","USD 2,000 - 3,000",N/A,301 x 380 mm,United States,1903-1996,Modernism,Rural Scenes
