Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Projet publicitaire pour Mica-Tube,SONIA DELAUNAY,"USD 18,900","USD 15,000 - 25,000",gouache,17.3 x 24.9 cm,Ukraine,1885-1979,Orphism,Abstract
"Etude pour ""L'é quation des bleus mouvants""",FRANTISEK KUPKA,"USD 151,200","USD 30,000 - 50,000",gouache,8 x 11 in,Czech Republic,1871-1957,Orphism,Abstract
Rythme coloré,SONIA DELAUNAY,"USD 100,800","USD 50,000 - 70,000",gouache,57 x 76.7 cm,Ukraine,1885-1979,Orphism,Abstract
Nature morte,LE CORBUSIER,"USD 39,060","USD 20,000 - 30,000",N/A,43.8 x 35.9 cm,Switzerland,1887-1965,Modernism,Architecture
Egouttoir,FRANCIS PICABIA,"USD 252,000","USD 200,000 - 300,000",gouache,72.6 x 59.9 cm,France,1879-1953,Dada,Abstract
"Composition dans le c ô ne avec couleur orange, no. 58",GEORGES VANTONGERLOO,"USD 94,500","USD 40,000 - 60,000",gouache,13.2 x 13.2 cm,Belgium,1886-1965,De Stijl,Abstract
Fond noir,JEAN HELION,"USD 75,600","USD 100,000 - 150,000",oil on canvas,61 x 50.1 cm,France,1904-1987,Modernism,Abstract
"Dessin pour la couverture de ""L'architecture vivante""",THEO VAN DOESBURG,"USD 20,160","USD 50,000 - 70,000",gouache,28.6 x 23.1 cm,Netherlands,1883-1931,De Stijl,Abstract
Still life–Bouquet with Autumn Leaves,OLEKSANDR BOHOMAZOV,"USD 81,900","USD 30,000 - 50,000",N/A,40.8 x 31.6 cm,Ukraine,1880-1930,Futurism,Abstract
Architectural Design for the Palace of Pioneers and Octobrists in Kharkiv: Laboratory of the Tram Trust,VASYL YERMILOV,"USD 22,680","USD 10,000 - 15,000",gouache,8 x 15 in,Ukraine,1894-1968,Constructivism,Abstract
Architectural Design for the Palace of Pioneers and Octobrists in Kharkiv,VASYL YERMILOV,"USD 12,600","USD 10,000 - 15,000",gouache,39.2 x 51.9 cm,Ukraine,1894-1968,Constructivism,Abstract
Suprematist Composition—Projected Plane,KAZIMIR MALEVICH,"USD 75,600","USD 30,000 - 50,000",N/A,11.1 x 8.8 cm,Ukraine,1878-1935,Suprematism,Abstract
Protomagnetic Construction,KAZIMIR MALEVICH,"USD 56,700","USD 30,000 - 50,000",N/A,17.2 x 20.8 cm,Ukraine,1878-1935,Suprematism,Abstract
Magnetic Construction,KAZIMIR MALEVICH,"USD 94,500","USD 30,000 - 50,000",N/A,16.5 x 11.1 cm,Ukraine,1878-1935,Suprematism,Abstract
Standing Woman,KAZIMIR MALEVICH,"USD 63,000","USD 25,000 - 35,000",N/A,15 x 22.3 cm,Ukraine,1878-1935,Suprematism,Abstract
Amoncellement à l’épi,JEAN DUBUFFET,"USD 504,000","USD 250,000 - 350,000",N/A,72.9 x 55.1 cm,France,1901-1985,Art Brut,Abstract
Evening Blue,HANS HOFMANN,"USD 378,000","USD 400,000 - 600,000",oil on canvas,36 x 48 in,Germany,1880-1966,Abstract Expressionism,Abstract
Vénus d'Alexandrie (S 41),YVES KLEIN,"USD 151,200","USD 70,000 - 100,000",N/A,29.8 x 20 cm,France,1928-1962,Monochrome Art,Abstract
Buste de jeune femme nue,HENRI MATISSE,"USD 126,000","USD 120,000 - 180,000",N/A,52.4 x 40 cm,France,1869-1954,Fauvism,Still Life
Trois personnages debout,PABLO PICASSO,"USD 567,000","USD 500,000 - 700,000",N/A,44.4 x 31.5 cm,Spain,1881-1973,Cubism,Portraiture
Tête,LOUIS MARCOUSSIS,"USD 81,900","USD 20,000 - 30,000",N/A,39 x 32.2 cm,Poland,1883-1941,Cubism,Abstract
Liseur dans un fauteuil,JACQUES LIPCHITZ,"USD 75,600","USD 60,000 - 80,000",N/A,N/A,Lithuania,1891-1973,Cubism,Sculpture
Napoleon Still Life,RICHARD LINDNER,"USD 252,000","USD 200,000 - 300,000",oil on canvas,50 x 40 in,Germany,1901-1978,Pop Art,Portraiture
Standing Woman,ALEXANDER ARCHIPENKO,"USD 47,880","USD 18,000 - 25,000",bronze,N/A,Ukraine,1887-1964,Cubism,Sculpture
A l’exactitude,MAN RAY,"USD 60,480","USD 50,000 - 70,000",gouache,16.2 x 9 cm,United States,1890-1976,Surrealism,Photography
Sans titre,YVES TANGUY,"USD 17,640","USD 6,000 - 8,000",N/A,26 x 21.9 cm,France,1900-1955,Surrealism,Abstract
Sans titre (L'oiseau mort),RENE MAGRITTE,"USD 441,000","USD 500,000 - 700,000",watercolor,63.8 x 48.8 cm,Belgium,1898-1967,Surrealism,Fantasy
The Disquieting Muses,ANDY WARHOL,"USD 50,400","USD 18,000 - 25,000",N/A,89.1 x 58.7 cm,United States,1928-1987,Pop Art,Portraiture
"Cover for ‘Trombone By Three, Jay Jay Johnson, Kai Winding, Bennie Green,’ Prestige Records",ANDY WARHOL,"USD 25,200","USD 10,000 - 15,000",N/A,30.5 x 30.7 cm,United States,1928-1987,Pop Art,Portraiture
Mica Ertegun,ANDY WARHOL,"USD 8,820","USD 4,000 - 6,000",N/A,10.7 x 8.9 cm,United States,1928-1987,Pop Art,Portraiture
Palm Tree,JOSEPH STELLA,"USD 40,320","USD 15,000 - 25,000",oil on canvas,60.3 x 38.7 cm,Italy,1877-1946,Futurism,Abstract
"La Californie, Cannes",PABLO PICASSO,"USD 81,900","USD 60,000 - 80,000",N/A,44 x 32.3 cm,Spain,1881-1973,Cubism,Portraiture
Mica’s and Ahmet’s Gift,KENNETH NOLAND,"USD 195,300","USD 100,000 - 150,000",N/A,10.9 x 259.1 cm,United States,1924-2010,Color Field,Abstract
August White,JACK YOUNGERMAN,"USD 52,920","USD 20,000 - 30,000",N/A,216.1 x 442.2 cm,United States,1926-2020,Abstract Expressionism,Abstract
Femme sortant du bain,EDGAR DEGAS,"USD 63,000","USD 100,000 - 150,000",bronze,N/A,France,1834-1917,Impressionism,Figure Painting
Woman Undressing,GEORGE GROSZ,"USD 10,080","USD 5,000 - 7,000",gouache,59.7 x 44.8 cm,Germany,1893-1959,Expressionism,Satirical
Corrida,PABLO PICASSO,"USD 516,600","USD 150,000 - 250,000",N/A,20 x 26 in,Spain,1881-1973,Cubism,Portraiture
Woman on a Couch [LF 69],GASTON LACHAISE,"USD 11,340","USD 6,000 - 8,000",bronze,N/A,France,1882-1935,Modernism,Sculpture
Synchromist Nude,MORGAN RUSSELL,"USD 16,380","USD 50,000 - 70,000",oil on canvas,170.2 x 94.6 cm,United States,1886-1953,Synchronism,Abstract
Untitled,DAVID SALLE,"USD 13,860","USD 5,000 - 7,000",watercolor,8 x 20 in,United States,B. 1952,Postmodernism,Abstract
Couple,WANG KEPING,"USD 32,760","USD 15,000 - 20,000",N/A,35.5 x 33.3 cm,China,B. 1949,Modernism,Sculpture
Miró and the Dark World,LARRY RIVERS,"USD 22,680","USD 18,000 - 25,000",oil on canvas,111.7 x 8.9 cm,United States,1923-2002,Pop Art,Portraiture
Mica Ertegun as a Queen,LARRY RIVERS,"USD 7,560","USD 3,000 - 5,000",collage,8 x 11 in,United States,1923-2002,Pop Art,Portraiture
Mica Floating,LARRY RIVERS,"USD 4,410","USD 2,000 - 3,000",collage,27.9 x 35 cm,United States,1923-2002,Pop Art,Portraiture
