Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
"Autour de ""Souvenance d'un printemps""",Marc Chagall,"EUR 119,700","EUR 38,000 - 55,000",gouache,65.7 x 50.6 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Offrande pour Vava,Marc Chagall,"EUR 40,320","EUR 4,500 - 7,500",N/A,10.3 x 14.1 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Le Peintre et ses combats,Marc Chagall,"EUR 69,300","EUR 28,000 - 45,000",gouache,50 x 65 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Esquisse pour la lithographie ""Le Bouquet rose"" (M.979)",Marc Chagall,"EUR 50,400","EUR 11,000 - 17,000",N/A,47.8 x 34 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Les trois Anges,Marc Chagall,"EUR 6,930","EUR 2,200 - 3,200",N/A,23 x 17 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Bouquet rouge aux amoureux sur fond bleu,Marc Chagall,"EUR 56,700","EUR 14,000 - 18,000",gouache,24 x 17.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Rencontre avec l'ange dans le ciel du village,Marc Chagall,"EUR 100,800","EUR 28,000 - 45,000",N/A,65.9 x 48 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Esquisse pour la lithographie M. 327 de Chloé (Daphnis et Chloé, Longus)",Marc Chagall,"EUR 52,920","EUR 18,000 - 28,000",gouache,31 x 45.2 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Vision d'Esaïe,Marc Chagall,"EUR 27,720","EUR 7,500 - 11,000",gouache,35.5 x 26.4 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Frontispice,Marc Chagall,"EUR 1,764","EUR 900 - 1,800",N/A,24 x 18 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Étreinte sur fond bleu,Marc Chagall,"EUR 32,760","EUR 7,500 - 11,000",N/A,24.5 x 15.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Autour des vitraux pour Jérusalem,Marc Chagall,"EUR 37,800","EUR 3,800 - 5,500",N/A,17.6 x 16 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
L'Ange aux ailes rouges dans le ciel jaune de Saint Paul,Marc Chagall,"EUR 138,600","EUR 38,000 - 55,000",gouache,36.2 x 47 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Variante pour la tribu d'Asher,Marc Chagall,"EUR 30,240","EUR 9,000 - 14,000",N/A,65 x 50 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Hommage à Elsa Triolet (poster),Marc Chagall,"EUR 1,890",EUR 600 - 900,N/A,45 x 36 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Esquisse pour la gouache préparatoire pour la lithographie M. 316, Le baiser de Chloé (Daphnis et Chloé, Longus)",Marc Chagall,"EUR 60,480","EUR 11,000 - 17,000",gouache,31.6 x 22.8 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Esquisse pour la tribu d'Issachar (vitraux à la synagogue de l'hôpital Hadassah, Jérusalem)",Marc Chagall,"EUR 40,320","EUR 9,000 - 14,000",N/A,29.7 x 21.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Moïse montrant les Tables de la Loi aux Israélites,Marc Chagall,"EUR 44,100","EUR 9,000 - 14,000",gouache,33.7 x 32.7 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Étude pour Jacob (Chapelle de Vence),Marc Chagall,"EUR 9,450","EUR 900 - 1,800",N/A,24.3 x 18 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Noé et l'arc-en-ciel,Marc Chagall,"EUR 69,300","EUR 18,000 - 28,000",N/A,76 x 56 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Tendresse autour d'une table,Marc Chagall,"EUR 100,800","EUR 18,000 - 28,000",N/A,47.8 x 34 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Couverture Jaquette, État définitif",Marc Chagall,"EUR 6,300","EUR 1,800 - 3,800",N/A,"30.5 x 52,5 cm",FRENCH,1887-1985,Surrealism,Fantasy Compositions
La Sainte famille en rouge,Marc Chagall,"EUR 94,500","EUR 45,000 - 75,000",N/A,24 x 19 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
L'Ange au bouquet en visite à l'atelier,Marc Chagall,"EUR 69,300","EUR 9,000 - 14,000",N/A,25 x 32.4 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
La Thora rouge,Marc Chagall,"EUR 5,292","EUR 1,400 - 1,800",N/A,41 x 31 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Le Peintre au double-profil et l'horloge,Marc Chagall,"EUR 88,200","EUR 14,000 - 18,000",N/A,42 x 29.8 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Couverture issue de: Chagall Lithographe, Tome II",Marc Chagall,"EUR 2,394","EUR 900 - 1,800",N/A,"33,3 x 54 cm",FRENCH,1887-1985,Surrealism,Fantasy Compositions
Sainte famille en rouge et bouc en vert,Marc Chagall,"EUR 163,800","EUR 18,000 - 28,000",gouache,59 x 46.2 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Moïse sauvé des eaux,Marc Chagall,"EUR 50,400","EUR 9,000 - 14,000",gouache,33.9 x 32 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Le Char d'Élie,Marc Chagall,"EUR 5,292","EUR 1,800 - 2,800",N/A,"36,2 x 28 cm",FRENCH,1887-1985,Surrealism,Fantasy Compositions
Retour à Vitebsk,Marc Chagall,"EUR 37,800","EUR 6,500 - 9,000",N/A,40 x 30 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Esquisse pour Pendule au Christ ou Pendule dans la neige,Marc Chagall,"EUR 22,680","EUR 9,000 - 14,000",gouache,31.3 x 24.4 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Muguet pour Vava,Marc Chagall,"EUR 16,380","EUR 2,800 - 4,500",N/A,29 x 17 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Autour de Vence,Marc Chagall,"EUR 60,480","EUR 18,000 - 28,000",gouache,68 x 52 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
David,Marc Chagall,"EUR 8,190","EUR 1,800 - 2,800",N/A,15 x 12 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Tête à deux visages,Marc Chagall,"EUR 27,720","EUR 7,500 - 9,000",N/A,29.8 x 22 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Bouquet pour Vava,Marc Chagall,"EUR 60,480","EUR 14,000 - 18,000",gouache,29.5 x 22.2 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Valentine aux colombes,Marc Chagall,"EUR 81,900","EUR 11,000 - 17,000",N/A,63 x 48.6 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
L' Élégie des Alizés - Frontispice,Marc Chagall,"EUR 3,024","EUR 900 - 1,800",N/A,21.5 x 15.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Etude pour ""Les deux têtes""",Marc Chagall,"EUR 50,400","EUR 11,000 - 17,000",gouache,31 x 24 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Sainte Famille à Sils en trois couleurs,Marc Chagall,"EUR 47,880","EUR 7,500 - 11,000",N/A,38 x 28 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Étude pour Moïse brisant les Tables de la Loi,Marc Chagall,"EUR 21,420","EUR 3,800 - 5,500",gouache,23 x 15 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Rencontre sur fond boisé,Marc Chagall,"EUR 20,160","EUR 6,500 - 9,000",N/A,30.8 x 22.7 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
L'Ange rouge à l'atelier pour Vava le 16 avril,Marc Chagall,"EUR 44,100","EUR 5,500 - 7,500",N/A,26.6 x 35.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Crucifixion sur fond gris,Marc Chagall,"EUR 27,720","EUR 11,000 - 17,000",gouache,32.8 x 25.7 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Dialogue entre deux profils,Marc Chagall,"EUR 75,600","EUR 18,000 - 28,000",N/A,47.9 x 34 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Bonne Année,Marc Chagall,"EUR 8,190","EUR 2,800 - 4,500",N/A,52 x 40.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Peintre au double-profil rose et noir,Marc Chagall,"EUR 21,420","EUR 4,500 - 7,500",N/A,31.8 x 25.2 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Rencontre à l'intérieur avec le nu couronné,Marc Chagall,"EUR 47,880","EUR 11,000 - 17,000",N/A,42 x 31 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Abraham et les trois anges en visite,Marc Chagall,"EUR 32,760","EUR 17,000 - 22,000",N/A,43.5 x 60.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Le Peintre et son tableau,Marc Chagall,"EUR 44,100","EUR 11,000 - 17,000",N/A,39.2 x 34.6 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
L'Envolée du bouquet,Marc Chagall,"EUR 69,300","EUR 22,000 - 32,000",gouache,53 x 38.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
L'Animal rouge,Marc Chagall,"EUR 44,100","EUR 14,000 - 18,000",gouache,22.3 x 29.4 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Village à l'Âne rouge,Marc Chagall,"EUR 3,780","EUR 1,400 - 1,800",N/A,23.5 x 32 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Peintre ailé,Marc Chagall,"EUR 27,720","EUR 2,800 - 4,500",gouache,19.1 x 12 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Scène champêtre sous l'arbre, le soir",Marc Chagall,"EUR 56,700","EUR 9,000 - 14,000",gouache,40.8 x 31.8 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Violoniste en brun assis sur le banc vert sur le toit, la nuit",Marc Chagall,"EUR 17,640","EUR 1,800 - 2,800",N/A,23.8 x 20 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Rencontre autour du faune,Marc Chagall,"EUR 30,240","EUR 9,000 - 14,000",N/A,49.8 x 36.9 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
À l'Aube de l'Amour,Marc Chagall,"EUR 8,190","EUR 1,800 - 2,800",N/A,32 x 23.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
