название,имя_художника,стоимость,примерная_оценка,материал,размер,страна,период,стиль,жанр
Homme debout ; Étude de tête d’homme barbu et d’un chat (verso),LUDOVICO CARRACCI,,"EUR 7,000 - 10,000",N/A,"37 x 19,3 cm",Italy,1555-1619,Realism,Portrait
David jouant de la harpe pour Saül,JACOPO PALMA IL GIOVANE,,"EUR 4,000 - 6,000",N/A,"30,2 x 21,2 cm",Italy,1544-1628,Realism,Figurative Drawing
Saint Antoine et l'Enfant Jésus entourés de putti,GIOVANNI DOMENICO TIEPOLO,,"EUR 4,000 - 6,000",N/A,25.4 x 18 cm,Italy,1727-1804,Realism,Figurative Drawing
"Femme assise le bras tendu, regardant vers la gauche",JACOB ADRIAENSZ. BACKER,,"EUR 10,000 - 15,000",N/A,"23,8 x 19 cm",Netherlands,1608-1653,Realism,Portrait
Suite complète de huit études de léopards,MARCUS DE BYE,,"EUR 15,000 - 20,000",N/A,"15 x 18,7 cm",Netherlands,1639-1688,Realism,Animal Art
Paysage rocheux à la cascade avec deux pêcheurs,JAN WORST,"EUR 3,024","EUR 1,000 - 1,500",N/A,"21,9 x 19,4 cm",Unknown,1655-1686,Realism,Landscape
Tête d'homme au chapeau,JEAN DE SAINT-IGNY,"EUR 3,780","EUR 3,000 - 5,000",N/A,"22,3 x 16,7 cm",France,1595-1649,Realism,Portrait
Androclès et le lion,MICHEL CORNEILLE II,"EUR 6,300","EUR 3,000 - 5,000",N/A,"26,9 x 15,3 cm",France,1642-1708,Realism,Figurative Drawing
Étude pour le dieu fleuve,LOUIS DE BOULLOGNE LE JEUNE,"EUR 4,032","EUR 6,000 - 8,000",N/A,"38,4 x 49,7 cm",France,1654-1733,Realism,Figurative Drawing
Étude de draperie,CHARLES LE BRUN,,"EUR 6,000 - 8,000",N/A,"36 x 21,2 cm",France,1610-1690,Realism,Figurative Drawing
Scène bachique ,RAYMOND LAFAGE,"EUR 2,520","EUR 2,000 - 3,000",N/A,"34,2 x 50,2 cm",France,1656-1684,Realism,Figurative Drawing
Athénienne entourée de deux figures féminines surmontées d’une couronne (recto); Esquisse d'une figure féminine (verso),CHARLES LE BRUN,,"EUR 6,000 - 8,000",N/A,"25,1 x 41,6 cm",France,1619-1690,Realism,Unknown
Saint Jean-Baptiste reprochant à Hérode sa vie scandaleuse (recto); Etude d'homme en buste et autres figures (verso),ANTOINE DIEU,,"EUR 4,000 - 6,000",N/A,"21,7 x 26,6 cm",France,1662-1727,Realism,Unknown
"Académie d'homme nu assis, les mains derrière le dos",ÉCOLE FRANÇAISE DU DÉBUT DU XVIIIE SIÈCLE,,"EUR 5,000 - 7,000",N/A,"54,5 x 41 cm",Unknown,N/A,Realism,Figurative Drawing
Tête de femme en buste,FRANÇOIS BOUCHER,"EUR 6,300","EUR 5,000 - 7,000",N/A,"26,3 x 17,9 cm",France,1703-1770,Realism,Portrait
L'Enfant chéri,JEAN-BAPTISTE LEPRINCE,,"EUR 4,000 - 6,000",N/A,"24 x 21,7 cm",France,1734-1781,Realism,Unknown
Portrait présumé de Marie-Rosalie Vanloo,CHARLES-ANDRÉ VAN LOO DIT CARLE VAN LOO,"EUR 2,520","EUR 2,000 - 3,000",N/A,"35,3 x 26,5 cm",France,1705-1765,Realism,Portrait
Vierge entourée d'anges ailés,GABRIEL-FRANÇOIS DOYEN,"EUR 3,780","EUR 3,000 - 5,000",N/A,"45,5 x 30,1 cm",France,1726-1806,Realism,Figurative Drawing
"La sépulture de saint André, d'après Matia Preti",JEAN-HONORÉ FRAGONARD,,"EUR 15,000 - 20,000",N/A,"36,7 x 28,8 cm",France,1732-1806,Realism,Figurative Drawing
"Maria-Cristina de Bourbon-Siciles (1806-1878), reine et régente d'Espagne en robe blanche",NICOLAS-FRANÇOIS DUN,"EUR 20,160","EUR 10,000 - 15,000",gouache,"15,7 x 11,5 cm",France,1764-1832,Realism,Portrait
Académie d'homme assis,CHARLES-ANDRÉ VAN LOO DIT CARLE VAN LOO,,"EUR 3,000 - 5,000",N/A,"52,5 x 38,4 cm",France,1705-1765,Realism,Figurative Drawing
"Baigneuses et lavandières au bord d'une rivière, une ville à l'arrière-plan",SUIVEUR DE CHARLES-FRANÇOIS GRENIER LACROIX DE MARSEILLE,EUR 882,"EUR 1,500 - 2,000",gouache,"17,3 x 22,4 cm",Unknown,1700-1782,Realism,Landscape
