Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Herring Gulls,BRYAN WYNTER,"GBP 11,340","GBP 3,000 - 5,000",gouache,29.2 x 52.1 cm,United Kingdom,1915-1975,Abstract Expressionism,Abstract
"Gurnard's Head, Winter",WILHELMINA BARNS-GRAHAM,"GBP 17,640","GBP 4,000 - 6,000",gouache,24.7 x 44.4 cm,United Kingdom,1912-2004,Abstract Art,Abstract
St Ives,CHRISTOPHER WOOD,"GBP 88,200","GBP 5,000 - 8,000",gouache,34.3 x 48.8 cm,United Kingdom,1901-1930,Modernism,Landscape
"Boats in a Harbour, St Ives",SVEN BERLIN,"GBP 7,560","GBP 3,000 - 5,000",N/A,8 x 13 in,United Kingdom,1911-1999,Modernism,Sculpture
St Ives,WILHELMINA BARNS-GRAHAM,"GBP 16,380","GBP 3,000 - 5,000",gouache,39.4 x 57.8 cm,United Kingdom,1912-2004,Abstract Art,Abstract
"Boats, Cliff and Lighthouse",ALFRED WALLIS,"GBP 88,200","GBP 40,000 - 60,000",N/A,42.5 x 48.9 cm,United Kingdom,1855-1942,Naïve Art,Marine
"Composition 1963, No. 16",JOHN WELLS,"GBP 18,900","GBP 15,000 - 25,000",N/A,35 x 49 in,United Kingdom,1907-2000,Modernism,Abstract
Untitled,PETER LANYON,"GBP 9,450","GBP 3,000 - 5,000",gouache,29.2 x 18.4 cm,United Kingdom,1918-1964,Abstract Expressionism,Landscape
"Untitled 1967 (Red, White and Black)",ROGER HILTON,"GBP 7,560","GBP 6,000 - 8,000",N/A,12 x 10 in,United Kingdom,1911-1975,Abstract Expressionism,Abstract
"Project, 1967",JOHN WELLS,"GBP 17,640","GBP 7,000 - 10,000",N/A,20 x 30 in,United Kingdom,1907-2000,Modernism,Abstract
Boats at sea,ROGER HILTON,"GBP 11,340","GBP 4,000 - 6,000",gouache,37.2 x 55.2 cm,United Kingdom,1911-1975,Abstract Expressionism,Abstract
Drifter,ALAN LOWNDES,"GBP 30,240","GBP 10,000 - 15,000",N/A,45 x 55.8 cm,United Kingdom,1921-1978,Naïve Art,Landscape
"Painting, 1967",JOHN WELLS,"GBP 8,820","GBP 10,000 - 15,000",N/A,17.5 x 75.3 cm,United Kingdom,1907-2000,Modernism,Abstract
"Painting, 1960",JOHN WELLS,"GBP 8,568","GBP 6,000 - 8,000",N/A,12 x 14 in,United Kingdom,1907-2000,Modernism,Abstract
Waste,"JOHN TUNNARD, A.R.A.","GBP 8,820","GBP 3,000 - 5,000",gouache,15 x 22 in,United Kingdom,1900-1971,Surrealism,Abstract
Nude,CHRISTOPHER WOOD,"GBP 15,120","GBP 15,000 - 25,000",N/A,33.7 x 41 cm,United Kingdom,1901-1930,Modernism,Landscape
"Composition, 1935",STANLEY WILLIAM HAYTER,"GBP 21,420","GBP 8,000 - 12,000",N/A,18 x 15 in,United Kingdom,1901-1988,Surrealism,Abstract
Black Crab,"BERNARD MEADOWS, R.A.","GBP 75,600","GBP 50,000 - 80,000",bronze,N/A,United Kingdom,1915-2005,Modernism,Sculpture
Trompe l'Oeil à Clef,PETER ROSE PULHAM,"GBP 13,860","GBP 6,000 - 8,000",oil on canvas,74.9 x 120.6 cm,United Kingdom,1910-1956,Modernism,Abstract
The Bird,SIR CEDRIC MORRIS,"GBP 44,100","GBP 40,000 - 60,000",N/A,54.6 x 45.7 cm,United Kingdom,1889-1982,Modernism,Still Life
Still Life with Avocado Pears,ROBERT MACBRYDE,"GBP 47,880","GBP 25,000 - 35,000",oil on canvas,30 x 40 in,United Kingdom,1913-1966,Cubism,Still Life
Maquette for Reclining Interior Oval,"HENRY MOORE, O.M., C.H.","GBP 40,320","GBP 12,000 - 18,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
"Caves of Green, No. 4",IVON HITCHENS,"GBP 119,700","GBP 70,000 - 100,000",oil on canvas,17 x 56 in,United Kingdom,1893-1979,Abstract Art,Landscape
Leaf Figure No. 1,"HENRY MOORE, O.M., C.H.","GBP 20,160","GBP 12,000 - 18,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
Rural Green I,PRUNELLA CLOUGH,"GBP 11,340","GBP 5,000 - 8,000",oil on canvas,60.3 x 73.7 cm,United Kingdom,1919-1999,Modernism,Urban
Footed Bowl,DAME LUCIE RIE,,"GBP 15,000 - 25,000",N/A,N/A,Austria,1902-1995,Modernism,Ceramics
Two Seeds,"SIR ANTONY GORMLEY, R.A.",,"GBP 30,000 - 50,000",N/A,N/A,United Kingdom,B. 1950,Contemporary Art,Sculpture
Bottles,"SIR FRANK BOWLING, R.A.","GBP 13,860","GBP 10,000 - 15,000",oil on canvas,36 x 22.8 cm,Guyana,B. 1934,Abstract Expressionism,Abstract
Guardia Civil,"SIR PETER BLAKE, R.A.","GBP 50,400","GBP 40,000 - 60,000",N/A,28.5 x 21 cm,United Kingdom,B. 1932,Pop Art,Portraiture
Untitled (Head of a Girl),PAULINE BOTY,"GBP 37,800","GBP 30,000 - 50,000",gouache,50.2 x 40.7 cm,United Kingdom,1938-1966,Pop Art,Portraiture
Untitled (Christmas collage '64),PAULINE BOTY,"GBP 23,940","GBP 10,000 - 15,000",collage,44.5 x 32.1 cm,United Kingdom,1938-1966,Pop Art,Portraiture
Insert for Sgt. Pepper's Lonely Hearts Club Band,"SIR PETER BLAKE, R.A. AND JANN HAWORTH","GBP 113,400","GBP 70,000 - 100,000",collage,30.1 x 30.1 cm,Unknown,B. 1932,Pop Art,Figurative
"Time Magazine collage; Medicine is for People, Not for Profits","SIR EDUARDO PAOLOZZI, R.A.","GBP 4,410","GBP 4,000 - 6,000",collage,19.7 x 21 cm,United Kingdom,1924-2005,Pop Art,Sculpture
3 Cokes Study,CLIVE BARKER,,"GBP 20,000 - 30,000",N/A,N/A,United Kingdom,B. 1940,Pop Art,Sculpture
