Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Les Patineurs,MARC CHAGALL,"USD 16,380","USD 5,000 - 8,000",N/A,28.2 x 22.2 cm,Belarus,1887-1985,Surrealism,Religious Art
"Esquisse pour ""Les Amoureux (1937-43)"" (recto); Etude pour ""Tchichikov (Les âmes mortes, Gogol)"" (verso)",MARC CHAGALL,"USD 21,420","USD 10,000 - 15,000",N/A,25.4 x 21.4 cm,Belarus,1887-1985,Surrealism,Religious Art
Visitation de l'ange à la palette à Bella en vert,MARC CHAGALL,"USD 17,640","USD 6,000 - 8,000",N/A,20 x 27 cm,Belarus,1887-1985,Surrealism,Religious Art
Le père Noël sur fond rouge à la rencontre de Bella,MARC CHAGALL,"USD 119,700","USD 50,000 - 80,000",gouache,31.7 x 25 cm,Belarus,1887-1985,Surrealism,Religious Art
Cravate et couronne,PABLO PICASSO,"USD 47,880","USD 15,000 - 20,000",N/A,7.8 x 18 cm,Spain,1881-1973,Cubism,Abstract
Cravate et couronne,PABLO PICASSO,"USD 37,800","USD 10,000 - 15,000",N/A,N/A,Spain,1881-1973,Cubism,Abstract
Tête de jeune fille,LEONARD TSUGUHARU FOUJITA,,"USD 50,000 - 70,000",gouache,36.5 x 26.4 cm,Japan,1886-1968,Modernism,Portrait
Couple,PABLO PICASSO,"USD 403,200","USD 350,000 - 550,000",N/A,50.2 x 65.7 cm,Spain,1881-1973,Cubism,Abstract
Autour de la main verte,MARC CHAGALL,"USD 151,200","USD 120,000 - 180,000",gouache,33.6 x 25.7 cm,Belarus,1887-1985,Surrealism,Religious Art
Homme qui marche,ALBERTO GIACOMETTI,"USD 56,700","USD 40,000 - 60,000",N/A,50.4 x 32.3 cm,Switzerland,1901-1966,Modernism,Sculpture
Figures,JOAN MIRO,"USD 327,600","USD 150,000 - 250,000",gouache,41.3 x 32.4 cm,Spain,1893-1983,Surrealism,Abstract
Le tilleul et le châtaignier,MAX ERNST,"USD 201,600","USD 150,000 - 250,000",watercolor,42.8 x 26.1 cm,Germany,1891-1976,Surrealism,Abstract
Lourd entre léger,WASSILY KANDINSKY,"USD 126,000","USD 70,000 - 100,000",gouache,32 x 49.8 cm,Russia,1866-1944,Abstract Art,Abstract
La fille de l'artiste,GEORGES VALMIER,"USD 23,940","USD 12,000 - 18,000",gouache,27.3 x 21.5 cm,France,1885-1937,Cubism,Abstract
Nature morte,ALEXANDER ARCHIPENKO,"USD 30,240","USD 15,000 - 20,000",gouache,32 x 24.5 cm,Ukraine,1887-1964,Cubism,Sculpture
L'Usine,FERNAND LEGER,"USD 126,000","USD 100,000 - 150,000",gouache,24.4 x 31.5 cm,France,1881-1955,Cubism,Abstract
Vue d'une ville,OSSIP ZADKINE,"USD 35,280","USD 18,000 - 25,000",gouache,49.5 x 35.3 cm,Belarus,1888-1967,Cubism,Sculpture
Deux personnages,OSSIP ZADKINE,"USD 40,320","USD 18,000 - 25,000",gouache,49.5 x 38.5 cm,Belarus,1888-1967,Cubism,Sculpture
L'Echafaudage,FERNAND LEGER,"USD 63,000","USD 60,000 - 80,000",N/A,8 x 6 in,France,1881-1955,Cubism,Abstract
Portugaise au jardin,ROBERT DELAUNAY,"USD 302,400","USD 150,000 - 250,000",gouache,55.9 x 70 cm,France,1885-1941,Orphism,Abstract
Sans titre (Construction géométrique),FRANTISEK KUPKA,"USD 277,200","USD 120,000 - 180,000",gouache,27.3 x 21 cm,Czech Republic,1871-1957,Abstract Art,Abstract
Quatre éléments ou Composition à quatre éléments,ALBERT GLEIZES,"USD 20,160","USD 12,000 - 18,000",gouache,27 x 23.7 cm,France,1881-1953,Cubism,Abstract
La petite fille et la poupée,GEORGES VALMIER,"USD 16,380","USD 10,000 - 15,000",gouache,27 x 21.7 cm,France,1885-1937,Cubism,Abstract
Ecuyère au bouquet sur un cheval,MARC CHAGALL,"USD 1,008,000","USD 500,000 - 700,000",gouache,8 x 22 in,Belarus,1887-1985,Surrealism,Religious Art
