название;имя_художника;стоимость;примерная_оценка;материал;размер;страна;период;стиль;жанр
The Crucifixion with the Madonna, Saint John the Evangelist and two angels;PAOLO VENEZIANO;GBP 107,100;GBP 100,000 - 150,000;oil on panel;6 x 49 cm;ITALIA;1333-1362;;религиозная живопись
An Allegory of Transience;ERASMUS QUELLINUS II;GBP 63,000;GBP 100,000 - 150,000;Oil on canvas;;;ANTWERP 1607-1678;;религиозная живопись
A winter river landscape with travellers on a path;JAN BRUEGHEL I;GBP 214,200;GBP 100,000 - 150,000;oil on panel;;Belgium;1568-1625;;пейзаж
The Sermon of St. John the Baptist;PIETER BRUEGHEL II;GBP 1,613,000;GBP 800,000 - 1,200,000;oil;;Belgium;1564-1638;;жанровая живопись
Memento mori: Death comes to the table;GIOVANNI MARTINELLI;GBP 81,900;GBP 100,000 - 150,000;Oil on canvas;;ITALIA;1600-1659;;живопись
A lady playing a lute and a gentleman with a viola da gamba;EGLON VAN DER NEER;;GBP 80,000 - 120,000;Oil on canvas;;;1635-1703;;живопись
An Andalusian horse (recto) ; A wooded landscape – a sketch (verso);SIR ANTHONY VAN DYCK;GBP 3,428,000;GBP 2,000,000 - 3,000,000;Oil on canvas;132 x 106 cm;BRITISH;1599-1641;;портрет
Portrait of Isabella Clara Eugenia , Governess of Southern Netherlands, as a widow, three-quarter-length;SIR PETER PAUL RUBENS;GBP 289,800;GBP 200,000 - 300,000;Oil on canvas;;;1577-1640;;натюрморт
A stack of cheese on a pewter platter, with butter on a plate, a stoneware jug, bread, pretzels, wine in a façon-de-Venise glass and a knife, on a ledge;CLARA PEETERS;GBP 655,200;GBP 100,000 - 150,000;;;;1589-1657;;религиозная живопись
The Cesarini Venus;ATTRIBUTED TO ANTONIO SUSINI;;GBP 200,000 - 300,000;Bronze;;ITALIA;;1558-1624;;религиозная живопись
The Crucifixion with the Virgin, Mary Magdalene, John the Evangelist and a Franciscan Saint;WORKSHOP OF PIETRO LORENZETTI;GBP 195,300;GBP 80,000 - 120,000;;9 x 26 cm;ITALIA;;1306-1345;;портрет
A smoker lighting his pipe;GABRIEL METSU;GBP 403,200;GBP 200,000 - 300,000;;;Netherlands;1629-1667;;пейзаж
A calm with fishing boats and figures on a jetty;JAN VAN DE CAPPELLE;GBP 189,000;GBP 150,000 - 200,000;Oil on canvas;7 x 76 cm;Netherlands;1626-1679;;портрет
Portrait of a gentleman, half-length, in a black cloak;ATTRIBUTED TO MICHAELINA WAUTIER;;GBP 60,000 - 80,000;Oil on canvas;5 x 59 cm;Belgium;1604-1689S;;живопись
A river landscape with a horse-drawn cart carrying a lady with baskets of vegetables across a ford next to a castle, a drover, cattle and windmill beyond;JAN SIBERECHTS;GBP 94,500;GBP 60,000 - 80,000;Oil on canvas;;BRITISH;1627-1703;;портрет
Allegory of Lust;GERRIT VAN HONTHORST;GBP 189,000;GBP 150,000 - 250,000;Oil on canvas;94 x 78 cm;Netherlands;1592-1656;;крестьянская живопись
A wedding feast in an inn;ADRIAEN JANSZ. VAN OSTADE;GBP 126,000;GBP 100,000 - 150,000;;9 x 86 cm;Netherlands;1610-1685;;историческая живопись
The Prodigal Son;JOHANN LISS;;GBP 80,000 - 120,000;Oil on canvas;;ITALIA;1597-1631;историческая живопись
A military encampment, traditionally identified as the Siege of Antwerp;JOHANNES LINGELBACH;;GBP 70,000 - 100,000;Oil on canvas;;ITALIA;1622-1674;;историческая живопись
Portrait of Richard Payne Knight (1751-1824), half-length, in a black coat and white stock;SIR THOMAS LAWRENCE, P.R.A.;GBP 63,000;GBP 50,000 - 80,000;Oil on canvas;30 x 25 in;BRITISH;1769-1830;;портрет
Guilty Punchinello;GIOVANNI BATTISTA TIEPOLO, CALLED GIAMBATTISTA TIEPOLO;GBP 2,460,000;GBP 1,000,000 - 1,500,000;Oil on canvas;;;1696-1770;;историческая живопись
Venice, a stonemason's yard on the Grand Canal, with a view of the Palazzo Ca' Tron, the Palazzo Belloni Battagia, the Fondaco del Megio and the Fondaco dei Turchi\; and Venice, the Doge's Palace with the Campanile, the Libreria and Santa Maria della Salute beyond;MICHELE MARIESCHI;GBP 1,129,000;GBP 600,000 - 800,000;Oil on canvas;9 x 72 cm;ITALIA;1710-1743;;живопись
Le poète ou Le sculpteur;GUSTAVE COURBET;GBP 945,000;GBP 250,000 - 350,000;Oil on canvasFRENCH;;;1819-1877;;портрет
Bathsheba;FRANCESCO HAYEZ;GBP 1,492,000;GBP 600,000 - 800,000;Oil on canvas;;ITALIA;1791-1882;;портрет
Young girl on Skagen Soenderstrand (Ung pige på Skagen Sønderstrand);MICHAEL PETER ANCHER;GBP 252,000;GBP 250,000 - 350,000;Oil on canvas;5 x 80 cm;Denmark;1849–1927;;портрет
