название,имя_художника,стоимость,примерная_оценка,материал,размер,страна,период,стиль,жанр
Beginning (Sketch),FRIEDEL DZUBAS,"USD 8,820","USD 4,000 - 6,000",acrylic,13.7 x 14.9 cm.,Germany,1915-1994,Contemporary Art,Modern Art
Alba in Garden,ALEX KATZ,,"USD 70,000 - 100,000",N/A,20.9 x 61 cm.,United States,b. 1927,Contemporary Art,Modern Art
Untitled,REGGIE BURROWS HODGES,,"USD 50,000 - 70,000",acrylic,101.6 x 76.2 cm.,United States,B. 1965,Contemporary Art,Modern Art
Untitled,SAM FRANCIS,"USD 35,280","USD 20,000 - 30,000",watercolor,11.4 x 36.2 cm.,United States,1923-1994,Contemporary Art,Modern Art
Hungry for God,GENESIS TRAMAINE,"USD 69,300","USD 80,000 - 120,000",acrylic,182.9 x 121.9 cm.,United States,B. 1983,Contemporary Art,Modern Art
Untitled,STANLEY WHITNEY,"USD 15,120","USD 10,000 - 15,000",N/A,40.6 x 40 cm.,United States,B. 1946,Contemporary Art,Modern Art
March ,ALEC EGAN,"USD 25,200","USD 4,000 - 6,000",oil on canvas,101.6 x 76.2 cm.,United States,B. 1984,Contemporary Art,Modern Art
Untitled,GEORGE CONDO,"USD 47,880","USD 30,000 - 50,000",N/A,127 x 111.8 cm.,United States,b. 1957,Contemporary Art,Modern Art
Trans Am,ED RUSCHA,"USD 32,760","USD 20,000 - 30,000",acrylic,36.8 x 29.2 cm.,United States,B. 1937,Contemporary Art,Modern Art
No title (4 years without...),RAYMOND PETTIBON,"USD 9,450","USD 6,000 - 8,000",N/A,25.4 x 33.7 cm.,United States,B. 1957,Contemporary Art,Modern Art
Untitled,ALEX KATZ,,"USD 100,000 - 150,000",N/A,61 x 61 cm.,United States,B. 1927,Contemporary Art,Modern Art
Ladies and Gentlemen (Ivette and Lurdes),ANDY WARHOL,,"USD 100,000 - 150,000",acrylic,35.6 x 27.9 cm.,United States,1928-1987,Contemporary Art,Modern Art
Bedroom Blonde Doodle (Black),TOM WESSELMANN,"USD 119,700","USD 100,000 - 150,000",N/A,122.6 x 142.9 cm.,United States,1931-2004,Contemporary Art,Modern Art
Tracy '87,JOHN KACERE,,"USD 60,000 - 80,000",oil on canvas,101.6 x 203.2 cm.,United States,1920-1999,Contemporary Art,Modern Art
Nude in Santa Fe,PHILIP PEARLSTEIN,"USD 44,100","USD 8,000 - 12,000",watercolor,105.4 x 74.9 cm.,United States,b. 1924,Contemporary Art,Nude
Untitled (Maudell Sleet),ROMARE BEARDEN,,"USD 60,000 - 80,000",watercolor,28.6 x 19.7 cm.,United States,1911-1988,Contemporary Art,Modern Art
Blue & Red,NORMAN BLUHM,"USD 25,200","USD 25,000 - 35,000",oil on canvas,120 x 60 cm.,United States,1921-1999,Contemporary Art,Modern Art
"Mauve, Green and Red",HANS HOFMANN,"USD 25,200","USD 25,000 - 35,000",watercolor,73 x 57.8 cm.,Germany,1880-1966,Contemporary Art,Modern Art
Untitled,HANS HOFMANN,,"USD 25,000 - 35,000",N/A,22.2 x 61 cm.,Germany,1880-1966,Contemporary Art,Modern Art
"Andy Warhol, 'Flowers', 1964",RICHARD PETTIBONE,,"USD 30,000 - 50,000",acrylic,4.4 x 4.4 cm.,United States,B. 1938,Contemporary Art,Modern Art
Trunk,LYNNE DREXLER,,"USD 25,000 - 35,000",oil on canvas,55.9 x 50.8 cm.,United States,1928-1999,Contemporary Art,Modern Art
Untitled,ESTEBAN VICENTE,"USD 50,400","USD 30,000 - 50,000",oil on canvas,111.8 x 101.6 cm.,Spain,1903-2001,Contemporary Art,Modern Art
Untitled,HANS HOFMANN,,"USD 70,000 - 100,000",N/A,48.3 x 35.6 cm.,Germany,1880-1966,Contemporary Art,Modern Art
Again Harmony,LYNNE DREXLER,"USD 18,900","USD 15,000 - 20,000",oil on canvas,25.4 x 30.5 cm.,United States,1928-1999,Contemporary Art,Modern Art
Untitled,SAM FRANCIS,"USD 37,800","USD 30,000 - 50,000",acrylic,82.6 x 53.3 cm.,United States,1923-1994,Contemporary Art,Modern Art
Hummingbird Funeral (hibiscus flower),ALINA PEREZ,"USD 6,300","USD 7,000 - 10,000",N/A,182.9 x 221.6 cm.,United States,B. 1995,Contemporary Art,Modern Art
Untitled (red),LYNNE DREXLER,,"USD 8,000 - 12,000",oil on canvas,10.2 x 21.6 cm.,United States,1928-1999,Contemporary Art,Modern Art
Untitled (blue),LYNNE DREXLER,"USD 20,160","USD 8,000 - 12,000",oil on canvas,18.1 x 15.6 cm.,United States,1928-1999,Contemporary Art,Modern Art
Peruvian Pot,SCOTT KAHN,,"USD 20,000 - 30,000",oil on canvas,40.6 x 45.7 cm.,United States,B. 1946,Contemporary Art,Modern Art
"Black Sheep, White Sheep",LOUISA MATTHÍASDÓTTIR,"USD 35,280","USD 6,000 - 8,000",oil on canvas,30.5 x 38.1 cm.,Iceland,1917-2000,Contemporary Art,Modern Art
Head warmer,DAVID HAMMONS,,"USD 50,000 - 70,000",N/A,N/A,United States,B. 1943,Contemporary Art,Modern Art
Untitled,GEORGE CONDO,"USD 40,320","USD 15,000 - 20,000",N/A,25.4 x 33.7 cm.,United States,B. 1957,Contemporary Art,Modern Art
Untitled,WADE GUYTON,,"USD 150,000 - 200,000",N/A,326.4 x 274.3 cm.,United States,b. 1972,Contemporary Art,Modern Art
Untitled,JEAN-MICHEL BASQUIAT,"USD 25,200","USD 20,000 - 30,000",N/A,N/A,United States,1960-1988,Contemporary Art,Modern Art
Untitled (Egg) [Two Works],JEAN-MICHEL BASQUIAT,"USD 47,880","USD 8,000 - 12,000",N/A,N/A,United States,1960-1988,Contemporary Art,Modern Art
Jon (Study for Double Portrait),ANDY WARHOL,,"USD 25,000 - 35,000",N/A,80 x 57.8 cm.,United States,1928-1987,Contemporary Art,Portrait
Chocolate Bunny,ANDY WARHOL,"USD 81,900","USD 60,000 - 80,000",N/A,50.8 x 40.6 cm.,United States,1928-1987,Contemporary Art,Modern Art
Untitled (Whitman Sampler),ANDY WARHOL,"USD 6,048","USD 4,000 - 6,000",N/A,N/A,United States,1928-1987,Contemporary Art,Modern Art
Cum Painting,ANDY WARHOL,"USD 32,760","USD 30,000 - 50,000",N/A,25.4 x 20.3 cm.,United States,1928-1987,Contemporary Art,Modern Art
Untitled (Calvin Klein) [Two Works],ANDY WARHOL,"USD 32,760","USD 15,000 - 20,000",N/A,36.2 x 28.6 cm.,United States,1928-1987,Contemporary Art,Modern Art
Untitled (Ceramics),ANDY WARHOL,"USD 20,160","USD 15,000 - 25,000",N/A,54 x 69.2 cm.,United States,1928-1987,Contemporary Art,Modern Art
Portrait of a Dancer (John Butler) from Three Promenades with the Lord,ANDY WARHOL,"USD 32,760","USD 12,000 - 18,000",N/A,42.5 x 35.6 cm.,United States,1928-1987,Contemporary Art,Portrait
10 Barbras,DEBORAH KASS,,"USD 20,000 - 30,000",N/A,76.2 x 228.6 cm.,United States,b. 1952,Contemporary Art,Modern Art
"Blah, Blah, Blah",MEL BOCHNER,"USD 52,920","USD 40,000 - 60,000",oil on canvas,182.9 x 121.9 cm.,United States,B. 1940,Contemporary Art,Modern Art
Untitled,JOSH SMITH,"USD 12,600","USD 18,000 - 25,000",oil on canvas,152.4 x 122.2 cm.,United States,B. 1976,Contemporary Art,Modern Art
Give Me All You Got,MICHAEL KAGAN,"USD 44,100","USD 20,000 - 30,000",N/A,61 x 61 cm.,United States,b.1980,Contemporary Art,Modern Art
Black and Blue Series II,THOMAS HOUSEAGO,,"USD 50,000 - 70,000",oil on canvas,152.1 x 121.6 cm.,United Kingdom,B. 1972,Contemporary Art,Modern Art
Untitled,CHRIS OFILI,"USD 18,900","USD 6,000 - 8,000",gouache,42.5 x 36.2 cm.,United Kingdom,b. 1968,Contemporary Art,Modern Art
Should've Stayed Home,ALEX GARDNER,,"USD 40,000 - 60,000",acrylic,137.2 x 106.7 cm.,United States,B. 1987,Contemporary Art,Modern Art
Preacher,JAMMIE HOLMES,,"USD 50,000 - 70,000",acrylic,224.8 x 198.1 cm.,United States,B. 1984,Contemporary Art,Modern Art
Untitled ,CHRIS OFILI,"USD 21,420","USD 20,000 - 30,000",watercolor,33 x 20.3 cm.,United Kingdom,B. 1968,Contemporary Art,Modern Art
Aggregation Au00-107,CHUN KWANG YOUNG,"USD 37,800","USD 30,000 - 50,000",N/A,97.8 x 145.4 cm.,South Korea,B. 1944,Contemporary Art,Modern Art
Resonance,NNENNA OKORE,"USD 6,300","USD 7,000 - 10,000",acrylic,N/A,Nigeria,B. 1975,Contemporary Art,Installation
Baby Girl ,DEBORAH ROBERTS,"USD 30,240","USD 30,000 - 50,000",acrylic,76.2 x 55.9 cm.,United States,B. 1962,Contemporary Art,Modern Art
Photomontage #8,MICKALENE THOMAS,,"USD 30,000 - 50,000",N/A,N/A,United States,B. 1971,Contemporary Art,Modern Art
Over and Over Again,BRIAN CALVIN,"USD 25,200","USD 25,000 - 35,000",acrylic,151.9 x 121.9 cm.,United States,b. 1969,Contemporary Art,Modern Art
Structural Design,RACHEL HARRISON,"USD 22,680","USD 25,000 - 35,000",acrylic,N/A,United States,B. 1966,Contemporary Art,Modern Art
Untitled (MF #1 Black and White),JENNIFER GIUDI,,"USD 10,000 - 15,000",N/A,14 x 10.8 cm.,United States,b. 1972,Contemporary Art,Modern Art
Ignore All Alien Orders,HARLAND MILLER,"USD 22,680","USD 50,000 - 70,000",oil on canvas,250.2 x 149.2 cm.,United Kingdom,B. 1964,Contemporary Art,Modern Art
Untitled,URS FISCHER,,"USD 30,000 - 50,000",N/A,N/A,Switzerland,B. 1973,Contemporary Art,Modern Art
Les masques (La vallée) (The Masks (The Valley)),CLAIRE TABOURET,"USD 75,600","USD 60,000 - 80,000",acrylic,200.7 x 300 cm.,France,B. 1981,Contemporary Art,Modern Art
9/11,MANOLO VALDES,,"USD 60,000 - 80,000",bronze,N/A,Spain,B. 1942,Contemporary Art,Modern Art
Head III,JAUME PLENSA,,"USD 20,000 - 30,000",N/A,N/A,Spain,b. 1955,Contemporary Art,Modern Art
Therapy (#69),COSIMA VON BONIN,"USD 8,190","USD 20,000 - 30,000",N/A,N/A,Germany,B. 1962,Contemporary Art,Modern Art
If Your Past Were on Fire Would You Go Back to Save it,HARLAND MILLER,,"USD 60,000 - 80,000",oil on canvas,300 x 201.9 cm.,United Kingdom,B. 1964,Contemporary Art,Modern Art
HADRON COLLIDER (DARK),STERLING RUBY,"USD 47,880","USD 40,000 - 60,000",acrylic,321.9 x 243.8 cm.,United States,B. 1972,Contemporary Art,Modern Art
Science Friction,TOMOO GOKITA,,"USD 40,000 - 60,000",gouache,161.6 x 161.6 cm.,Japan,B. 1969,Contemporary Art,Modern Art
Star Structure,DOROTHEA ROCKBURNE,"USD 5,040","USD 6,000 - 8,000",acrylic,17.8 x 12.7 cm.,Canada,B. 1932,Contemporary Art,Modern Art
Drawing from 'Zeno Writing' (Circular Building I),WILLIAM KENTRIDGE,"USD 63,000","USD 60,000 - 80,000",N/A,80 x 121 cm.,South Africa,B. 1955,Contemporary Art,Modern Art
Goldheaded 41,LORNA SIMPSON,,"USD 8,000 - 12,000",N/A,47 x 36.8 cm.,United States,B. 1960,Contemporary Art,Modern Art
"Untitled, Wambera, Untitled [Three Works]",WANGECHI MUTU,,"USD 20,000 - 30,000",watercolor,30.5 x 19.7 cm.,Kenya,B. 1972,Contemporary Art,Modern Art
Goldheaded 43,LORNA SIMPSON,,"USD 8,000 - 12,000",N/A,46.7 x 36.5 cm.,United States,B. 1960,Contemporary Art,Modern Art
"MaID VIII, SunSquare, Cape Town",ZANELE MUHOLI,,"USD 20,000 - 30,000",N/A,69.9 x 46.7 cm.,South Africa,B. 1972,Contemporary Art,Modern Art
Lynx Penguin,JAMIAN JULIANO-VILLANI,,"USD 25,000 - 35,000",acrylic,182.9 x 121.9 cm.,United States,b.1987,Contemporary Art,Modern Art
Untitled (Red Flower),ROSS BLECKNER,"USD 11,970","USD 6,000 - 8,000",oil on canvas,45.7 x 45.7 cm.,United States,B. 1949,Contemporary Art,Modern Art
Untitled,DAVID SALLE,"USD 56,700","USD 15,000 - 20,000",acrylic,152.4 x 107.3 cm.,United States,b. 1952,Contemporary Art,Modern Art
Ten Breaths: Tumbling Woman II,ERIC FISCHL,"USD 113,400","USD 35,000 - 45,000",bronze,N/A,United States,B. 1948,Contemporary Art,Modern Art
Little Offering,KIKI SMITH,"USD 17,640","USD 10,000 - 15,000",bronze,N/A,United States,B. 1954,Contemporary Art,Modern Art
