название;имя_художника;стоимость;примерная_оценка;материал;размер;страна;период;стиль;жанр
Paysage de Brie;Josef Šíma;EUR 138,600;EUR 60,000 - 80,000;Oil on canvas;;FRENCH;1891-1971;Abstractus;Modern Art
F's Picture;Shirley Jaffe;EUR 69,300;EUR 50,000 - 70,000;Oil on canvas;146 x 97 cm;FRENCH;1923-2016;Abstractus;Modern Art
Suite Rose-Noir (V);Jean Degottex;EUR 44,100;EUR 20,000 - 30,000;;5 x 80 cm;FRENCH;1918-1988;Abstractus;Modern Art
Sans titre;Sam Francis;EUR 113,400;EUR 80,000 - 120,000;Acrylic;5 x 122 cm;FRENCH;1923-1994;Abstractus;Modern Art
Sans titre;Joan Mitchell;EUR 1,431,500;EUR 600,000 - 800,000;Oil on canvas;73 x 50 cm;FRENCH;1925-1992;Abstractus;Modern Art
Sans titre;Jean Paul Riopelle;EUR 151,200;EUR 80,000 - 120,000;Oil on canvas;116 x 81 cm;FRENCH;1923-2002;Abstractus;Modern Art
M.m. 25;Simon Hantaï;EUR 390,600;EUR 300,000 - 500,000;Oil on canvas;237 x 206 cm;FRENCH;1922-2008;Abstractus;Modern Art
Sans titre;Claude Viallat;EUR 60,480;EUR 15,000 - 20,000;;8 x 93 in;FRENCH;1936;Abstractus;Modern Art
Sans titre;Sam Francis;EUR 352,800;EUR 180,000 - 250,000;Acrylic;263 x 183 cm;FRENCH;1923-1994;Abstractus;Modern Art
Sans titre;Claude Viallat;EUR 56,700;EUR 12,000 - 18,000;Acrylic;215 x 264 cm;FRENCH;1936;Abstractus;Modern Art
Peinture;Simon Hantaï;EUR 138,600;EUR 100,000 - 150,000;Oil on canvas;8 x 79 in;FRENCH;1922-2008;Abstractus;Modern Art
Sans titre;Joan Mitchell;EUR 1,855,000;EUR 1,500,000 - 2,000,000;Oil on canvas;97 x 130 cm;FRENCH;1925-1992;Abstractus;Modern Art
Blue figure (Blue IV);Sam Francis;EUR 831,600;EUR 300,000 - 500,000;Oil on canvas;;FRENCH;1923-1994;Abstractus;Modern Art
The story of his head;James Bishop;EUR 75,600;EUR 60,000 - 80,000;Oil on canvas;;FRENCH;1927-2021;Abstractus;Modern Art
Sans titre;Simon Hantaï;EUR 11,970;EUR 8,000 - 12,000;;5 x 46 cm;FRENCH;1922-2008;Abstractus;Modern Art
Report-bleu;Jean Degottex;EUR 30,240;EUR 12,000 - 18,000;Acrylic;100 x 100 cm;FRENCH;1918-1988;Abstractus;Modern Art
Sans titre;Sam Francis;EUR 94,500;EUR 100,000 - 150,000;Acrylic;66 x 48 in;FRENCH;1923-1994;Abstractus;Modern Art
Sans titre (29 août 1956);Jean Degottex;EUR 107,100;EUR 70,000 - 100,000;Oil on canvas;;FRENCH;1918-1988;Abstractus;Modern Art
Champs;Joan Mitchell;EUR 2,097,000;EUR 600,000 - 800,000;Oil on canvas;;FRENCH;1925-1992;Abstractus;Modern Art
East Hampton;Kimber Smith;EUR 5,292;EUR 4,000 - 6,000;Gouache;66 x 50 cm;FRENCH;1922-1981;Abstractus;Modern Art
Sans titre (Cobalt Series);Kimber Smith;EUR 6,300;EUR 3,000 - 5,000;Acrylic;;FRENCH;1922-1981;Abstractus;Modern Art
Panse;Simon Hantaï;EUR 94,500;EUR 40,000 - 60,000;Oil on canvas;;FRENCH;1922-2008;Abstractus;Modern Art
Paysage aux tâches bleues;Josef Šíma;EUR 138,600;EUR 30,000 - 50,000;Oil on canvas;27 x 46 cm;FRENCH;1891-1971;Abstractus;Modern Art
Sans titre;Simon Hantaï;EUR 115,920;EUR 70,000 - 100,000;Oil on canvas;;FRENCH;1922-2008;Abstractus;Modern Art
Sans titre (Écriture en masse);Judit Reigl;EUR 157,500;EUR 60,000 - 80,000;Oil on canvas;;FRENCH;1923-2020;Abstractus;Modern Art
Sans titre;Jean Paul Riopelle;EUR 126,000;EUR 120,000 - 180,000;Oil on canvas;;FRENCH;1923-2002;Abstractus;Modern Art
Métasphère rouge (I);Jean Degottex;EUR 44,100;EUR 15,000 - 20,000;;;FRENCH;1918-1988;Abstractus;Modern Art
Tabula;Simon Hantaï;EUR 151,200;EUR 100,000 - 150,000;Acrylic;;FRENCH;1922-2008;Abstractus;Modern Art
Sans titre;Bernard Piffaretti;EUR 15,120;EUR 6,000 - 8,000;Acrylic;;FRENCH;1955;Abstractus;Modern Art
Sans titre;Jean Paul Riopelle;EUR 63,000;EUR 60,000 - 80,000;Oil on canvas;73 x 91 cm;FRENCH;1923-2002;Abstractus;Modern Art
Sans titre (Edge);Sam Francis;EUR 88,200;EUR 70,000 - 100,000;Acrylic;;FRENCH;1923-1994;Abstractus;Modern Art
Sans titre;Marcelle Loubchansky;EUR 13,230;EUR 1,000 - 1,500;Oil on canvas;22 x 35 cm;FRENCH;1917-1988;Abstractus;Modern Art
Sans titre;Marcelle Loubchansky;EUR 7,182;EUR 1,000 - 1,500;Oil on canvas;;FRENCH;1917-1988;Abstractus;Modern Art
Fenêtre;Pierre Buraglio;EUR 13,860;EUR 7,000 - 10,000;;;FRENCH;1939;Abstractus;Modern Art
Sans titre;Claude Viallat;EUR 50,400;EUR 12,000 - 18,000;Acrylic;312 x 201 cm;FRENCH;1936;Abstractus;Modern Art
