название;имя_художника;стоимость;примерная_оценка;материал;размер;страна;период;стиль;жанр
Seven-character Calligraphic Couplet in Running Standard Script;QI GONG;HKD 352,800;HKD 80,000 - 120,000;;126 x 32 cm;Китай;1912-2005;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy;QI GONG;HKD 201,600;HKD 60,000 - 80,000;;95 x 48 cm;Китай;1912-2005;Traditional Chinese Style;Traditional Chinese Painting
Shrimps;QI BAISHI;HKD 567,000;HKD 220,000 - 350,000;;97 x 34 cm;Китай;1863-1957;Traditional Chinese Style;Traditional Chinese Painting
Shrimps;QI BAISHI;HKD 630,000;HKD 260,000 - 400,000;;104 x 34 cm;Китай;1863-1957;Traditional Chinese Style;Traditional Chinese Painting
Five-character Calligraphic Couplet in Oracle Bone Script;RAO ZONGYI;HKD 107,100;HKD 40,000 - 60,000;;114 x 20.5 cm;Китай;1917-2018;Traditional Chinese Style;Traditional Chinese Painting
Five-character Calligraphic Couplet;TAI JINGNONG;HKD 50,400;HKD 20,000 - 30,000;;93.5 x 20 cm;Китай;1903-1990;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy;QIAN MU;HKD 163,800;HKD 30,000 - 50,000;;107 x 33.3 cm;Китай;1895-1990;Traditional Chinese Style;Traditional Chinese Painting
Bamboo, Rock and Frog;DING YANYONG;HKD 37,800;HKD 20,000 - 30,000;;140 x 34.5 cm;Китай;1902-1978;Traditional Chinese Style;Traditional Chinese Painting
Mandarin Ducks in Lotus Pond;DING YANYONG;HKD 81,900;HKD 30,000 - 50,000;;70 x 138.5 cm;Китай;1902-1978;Traditional Chinese Style;Traditional Chinese Painting
Bird on Bamboo;DING YANYONG;HKD 75,600;HKD 70,000 - 90,000;;137.5 x 68.8 cm;Китай;1902-1978;Traditional Chinese Style;Traditional Chinese Painting
Pheasant and Magnolia;DING YANYONG;HKD 60,480;HKD 60,000 - 80,000;;139.2 x 69.9 cm;Китай;1902-1978;Traditional Chinese Style;Traditional Chinese Painting
Travelling Among Mountains;DING YANYONG;HKD 88,200;HKD 60,000 - 80,000;;137.5 x 69 cm;Китай;1902-1978;Traditional Chinese Style;Traditional Chinese Painting
Dragon Boat Racing;DING YANYONG;HKD 327,600;HKD 150,000 - 250,000;;180 x 97 cm;Китай;1902-1978;Traditional Chinese Style;Traditional Chinese Painting
