Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Pommes et poires,LOUIS VALTAT,"USD 23,940","USD 8,000 - 12,000",N/A,15 x 23.4 cm,France,1869-1952,Post-Impressionism,Landscape
Zinnias (Panneau de fleurs),LOUIS VALTAT,"USD 13,860","USD 7,000 - 10,000",oil on canvas,22.7 x 17.2 cm,France,1869-1952,Post-Impressionism,Landscape
Bouquet de fleurs dans une cruche,SUZANNE VALADON,"USD 60,480","USD 30,000 - 50,000",oil on canvas,61.3 x 50.2 cm,France,1865-1938,Post-Impressionism,Still Life
Bouquet de violettes et jonquilles dans un pichet,EDOUARD VUILLARD,"USD 75,600","USD 40,000 - 60,000",oil on canvas,22.5 x 19 cm,France,1868-1940,Nabis,Interior
"Le port du Loch, pointe du Raz",HENRY MORET,"USD 138,600","USD 50,000 - 70,000",oil on canvas,46 x 61.1 cm,France,1856-1913,Impressionism,Landscape
Falaises de Normandie,GUSTAVE LOISEAU,"USD 346,500","USD 150,000 - 250,000",oil on canvas,60.8 x 73.9 cm,France,1865-1935,Impressionism,Landscape
Maison dans un paysage,PIERRE-AUGUSTE RENOIR,"USD 302,400","USD 300,000 - 500,000",oil on canvas,8 x 15 in,France,1841-1919,Impressionism,Portrait
"L'âge d'airain, petit modèle dit aussi ""2ème réduction""",AUGUSTE RODIN,"USD 327,600","USD 180,000 - 250,000",bronze,N/A,France,1840-1917,Realism,Sculpture
Vue de Port-en-Bessin,LOUIS VALTAT,"USD 47,880","USD 30,000 - 50,000",oil on canvas,46.4 x 55.4 cm,France,1869-1952,Post-Impressionism,Landscape
Paysage fluvial,ALBERT MARQUET,"USD 40,320","USD 25,000 - 35,000",N/A,18.8 x 24 cm,France,1875-1947,Fauvism,Landscape
"Venise, le quai de la douane",EUGENE BOUDIN,"USD 69,300","USD 60,000 - 80,000",N/A,31 x 22.4 cm,France,1824-1898,Impressionism,Landscape
Géraniums,PIERRE-AUGUSTE RENOIR,"USD 69,300","USD 30,000 - 50,000",oil on canvas,16.2 x 19 cm,France,1841-1919,Impressionism,Portrait
Roses et capucines,HENRI FANTIN-LATOUR,"USD 277,200","USD 180,000 - 250,000",oil on canvas,61.9 x 54.5 cm,France,1836-1904,Realism,Still Life
"Baiser, grand modèle",AUGUSTE RODIN,"USD 3,438,000","USD 3,000,000 - 5,000,000",bronze,N/A,France,1840-1917,Realism,Sculpture
Lampadaire modèle (feuille),ALBERTO GIACOMETTI,"USD 378,000","USD 150,000 - 250,000",bronze,N/A,Switzerland,1901-1966,Surrealism,Sculpture
"Passionnément, pas du tout",KAY SAGE,,"USD 20,000 - 30,000",collage,28.2 x 20.57 cm,United States,1898-1963,Surrealism,Abstract
Exercice prénuptial,VICTOR BRAUNER,"USD 69,300","USD 70,000 - 100,000",oil on canvas,81 x 65.3 cm,Romania,1903-1966,Surrealism,Abstract
Oiseau sur une branche,JOAN MIRO,"USD 56,700","USD 60,000 - 80,000",bronze,N/A,Spain,1893-1983,Surrealism,Abstract
Working Model for Seated Figure: Arms Outstretched,HENRY MOORE,"USD 277,200","USD 250,000 - 350,000",bronze,N/A,United Kingdom,1898-1986,Abstract,Sculpture
Swiftly Walk over the Western Wave,MAN RAY,"USD 81,900","USD 30,000 - 50,000",N/A,15.6 x 24 cm,United States,1890-1976,Surrealism,Photography
She Walks,LEONORA CARRINGTON,"USD 819,000","USD 300,000 - 500,000",oil on canvas,8 x 36 in,United Kingdom,1917-2011,Surrealism,Abstract
Naranjas,FERNANDO BOTERO,"USD 352,800","USD 300,000 - 400,000",oil on canvas,106 x 94 cm,Colombia,1932-2023,Boteroism,Portrait
Tête,JOAN MIRO,"USD 69,300","USD 50,000 - 70,000",bronze,N/A,Spain,1893-1983,Surrealism,Abstract
Upright Internal/External Form: Flower,HENRY MOORE,"USD 352,800","USD 180,000 - 250,000",bronze,N/A,United Kingdom,1898-1986,Abstract,Sculpture
La Musa,GIORGIO DE CHIRICO,"USD 277,200","USD 180,000 - 250,000",oil on canvas,55.4 x 33.7 cm,Italy,1888-1978,Metaphysical Painting,Surrealism
Mélancolie,LEOPOLD SURVAGE,"USD 63,000","USD 30,000 - 50,000",oil on canvas,61 x 49.8 cm,Russia,1878-1968,Abstract,Abstract
Seated Figure,HENRY MOORE,,"USD 400,000 - 600,000",bronze,N/A,United Kingdom,1898-1986,Abstract,Sculpture
Reclining Figure,HENRY MOORE,"USD 60,480","USD 40,000 - 60,000",bronze,N/A,United Kingdom,1898-1986,Abstract,Sculpture
Tête florale,JEAN ARP,"USD 252,000","USD 70,000 - 100,000",bronze,N/A,Unknown,HANS,Dadaism,Sculpture
Fin de journée ou Le cheval rouge,MARC CHAGALL,"USD 1,197,000","USD 1,000,000 - 1,500,000",oil on canvas,54.9 x 67.2 cm,Belarus,1887-1985,Modernism,Symbolism
Tête couronnée,JOAN MIRO,"USD 75,600","USD 25,000 - 35,000",bronze,N/A,Spain,1893-1983,Surrealism,Abstract
Femmes au perroquet,AFTER FERNAND LEGER,"USD 75,600","USD 50,000 - 70,000",bronze,81.7 x 119.6 cm,France,1881-1955,Cubism,Abstract
Nature morte aux oeufs sur le plat,BERNARD BUFFET,"USD 113,400","USD 100,000 - 150,000",oil on canvas,73.1 x 100 cm,France,1928-1999,Expressionism,Still Life
"Le Carrousel du Louvre, étude",MARC CHAGALL,,"USD 350,000 - 450,000",oil on canvas,47.2 x 37.8 cm,Belarus,1887-1985,Modernism,Symbolism
Port du Havre,JEAN DUFY,"USD 40,320","USD 40,000 - 60,000",oil on canvas,46.4 x 55 cm,France,1888-1964,Fauvism,Landscape
La capeline noire,JEAN-PIERRE CASSIGNEUL,"USD 81,900","USD 50,000 - 70,000",oil on canvas,91.8 x 65.1 cm,France,B. 1935,Post-Impressionism,Portrait
Paysage,MAURICE DE VLAMINCK,,"USD 40,000 - 60,000",oil on canvas,46 x 54.9 cm,France,1876-1958,Fauvism,Landscape
Rue à Compiègne (Oise),MAURICE UTRILLO,,"USD 50,000 - 70,000",oil on canvas,46.3 x 55 cm,France,1883-1955,Naïve Art,Cityscape
Madame Reine (Georges) Bénard,EDOUARD VUILLARD,"USD 107,100","USD 50,000 - 70,000",N/A,47 x 38.4 cm,France,1868-1940,Nabis,Interior
Printemps à la Frette-Montigny,ALBERT MARQUET,,"USD 120,000 - 180,000",oil on canvas,65 x 80.9 cm,France,1875-1947,Fauvism,Landscape
"Maison dans la clairière, Choisel",LOUIS VALTAT,"USD 40,320","USD 50,000 - 70,000",oil on canvas,81.3 x 64.9 cm,France,1869-1952,Post-Impressionism,Landscape
Paysage d'Arcy-sur-Cure,MAXIMILIEN LUCE,"USD 88,200","USD 70,000 - 100,000",oil on canvas,8 x 31 in,France,1858-1941,Pointillism,Landscape
La table sur la cour,HENRI LE SIDANER,"USD 1,197,000","USD 500,000 - 700,000",oil on canvas,8 x 32 in,France,1862-1939,Impressionism,Landscape
Pergola de la cuisine de Marquayrol en automne,HENRI MARTIN,,"USD 120,000 - 180,000",oil on canvas,65.5 x 82.2 cm,France,1860-1943,Post-Impressionism,Landscape
