Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
"The Tree Within, A Palestinian Olive Tree",TAGREED DARGHOUTH,"GBP 44,100","GBP 10,000 - 15,000",acrylic,199.5 x 149.5cm,Lebanon,"B. 1979, SIDON",Contemporary,Figurative
Suspended Together ,MANAL AL DOWAYAN,"GBP 27,720","GBP 20,000 - 30,000",printed porcelain,29 x 13.5cm,Saudi Arabia,"B. 1973, DHAHRAN",Contemporary,Conceptual
Fan Power,TALA MADANI,"GBP 21,420","GBP 8,000 - 12,000",N/A,17 x 20in,Iran,"B. 1981, TEHRAN",Contemporary,Figurative
"Material for a film (detail), Wael with book",EMILY JACIR,"GBP 9,450","GBP 4,000 - 6,000",N/A,86.5 x 87.5cm,Palestine,"B. 1970, BETHLEHEM",Conceptual Art,Photography
Mahmoud Darwish,ABDULNASSER GHAREM,"GBP 15,120","GBP 10,000 - 15,000",N/A,83.5 x 113cm,Saudi Arabia,"B. 1973, KHAMIS MUSHAIT",Contemporary,Conceptual
Beirut,MAHMOUD OBAIDI,"GBP 20,160","GBP 8,000 - 12,000",N/A,200 x 200cm,Iraq,"B. 1966, BAGHDAD",Contemporary,Conceptual
3 Bends,HAYV KAHRAMAN,,"GBP 40,000 - 60,000",acrylic,50 x 62in,Iraq,"B.1981, BAGHDAD",Contemporary,Figurative
Untitled,JULIANA SERAPHIM,"GBP 35,280","GBP 15,000 - 20,000",oil on canvas,96 x 85cm,Lebanon,"1934, JAFFA - 2005, BEIRUT",Surrealism,Figurative
Le Repos du Coulis (Resting on Coulis),MARC GUIRAGOSSIAN,"GBP 6,930","GBP 5,000 - 7,000",oil on canvas,150.1 x 120cm,Lebanon,"B. 1995, BEIRUT",Modernism,Figurative
Untitled,FAHRELNISSA ZEID,"GBP 35,280","GBP 15,000 - 25,000",oil on canvas,35.3 x 24.3cm,Turkey,"1901, BÜYÜKADA - 1991, AMMAN",Modernism,Abstract
Untitled,HELEN KHAL,"GBP 16,380","GBP 12,000 - 18,000",N/A,43 x 55.7cm,Lebanon,"1923, ALLENTOWN - 2009, AJALTOUN",Modernism,Abstract
Untitled,LAILA SHAWA,"GBP 21,420","GBP 15,000 - 20,000",acrylic,50 x 70cm,Palestine,"1940, GAZA - 2022, LONDON",Contemporary,Political Art
