Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Artificial Light (From the Desert of Pharan series),AHMED MATER,,"GBP 70,000 - 100,000",N/A,20.3 x 322.6 cm,Saudi Arabia,1979,Contemporary,Conceptual
New York,SAMIA HALABY,"GBP 88,200","GBP 40,000 - 60,000",oil on canvas,61.4 x 61.4 cm,Palestine,1936,Abstract Expressionism,Abstract
Oasis,YVETTE ACHKAR,,"GBP 30,000 - 50,000",oil on canvas,145.4 x 130.0 cm,Lebanon,1928-2024,Modernism,Abstract
Untitled,HELEN KHAL,"GBP 65,520","GBP 30,000 - 50,000",oil on canvas,80.0 x 90.1 cm,Lebanon,1923-2009,Modernism,Abstract
Ta'mulat Mawdu'yeh (Objective Meditations),SHAKER HASSAN AL SAID,"GBP 100,800","GBP 80,000 - 120,000",N/A,119.4 x 119.4 cm,Iraq,1925-2004,Modernism,Abstract
"Bi nur al-iman, nara al-s'adah (In the light of faith, we see happiness)",MOHAMMED AL SALEEM,"GBP 630,000","GBP 180,000 - 250,000",oil on canvas,104.0 x 123.5 cm,Saudi Arabia,1939-1997,Modernism,Abstract
The Desert,AREF EL RAYESS,"GBP 378,000","GBP 120,000 - 180,000",oil on canvas,76.2 x 121.9 cm,Lebanon,"1928, ALEY - 2005,Modernism,Abstract
Vue de la plage à Cassata en Grèce (View of the beach in Cassata in Greece),MAHMOUD SAÏD,"GBP 844,200","GBP 250,000 - 350,000",N/A,60.4 x 71.0 cm,Egypt,1897-1964,Modernism,Figurative
"Badr Shaker al-Sayyab, Unshudat al-Matar",ETEL ADNAN,"GBP 60,480","GBP 40,000 - 60,000",N/A,20.0 x 14.0 cm,Lebanon,1925-2021,Abstract Expressionism,Abstract
Head,MARWAN,"GBP 378,000","GBP 180,000 - 250,000",oil on canvas,20.3 x 114.3 cm,Syria,1934-2016,Modernism,Expressionist
Flamenco,IBRAHIM EL-SALAHI,"GBP 22,680","GBP 18,000 - 25,000",N/A,25.0 x 25.0 cm,Sudan,1930,Modernism,Abstract
Nineteen Eighty-Four II,MOHAMMED SAMI,"GBP 40,320","GBP 20,000 - 30,000",acrylic,55.1 x 50.1 cm,Iraq,1984,Contemporary,Figurative
Evolution of Man,AHMED MATER,"GBP 94,500","GBP 50,000 - 70,000",N/A,83.0 x 63.0 cm,Saudi Arabia,1979,Contemporary,Conceptual
Half Night,SAMIA HALABY,"GBP 138,600","GBP 40,000 - 60,000",oil on canvas,60.4 x 63.2 cm,Palestine,1936,Abstract Expressionism,Abstract
