title,artist,material,material_group,width_cm,height_cm,area_cm2,country,period_raw,birth_year,death_year,period_mid_year,style,genre,estimate_low_eur,estimate_high_eur,estimate_mid_eur,sale_price_eur,price_category
Fleurs,ALEXANDER CALDER,gouache,Gouache,74.8,109.2,8168.16,United States,1898-1976,1898,1976,1937,Abstract Expressionism,Abstract,35000,55000,45000,98280,Premium
Nu dans l'atelier rouge de Vence,RAOUL DUFY,gouache,Gouache,48.0,63.3,3038.4,France,1877-1953,1877,1953,1915,Abstract Expressionism,Abstract,25000,35000,30000,30240,High
Nu étendu sur un divan rouge,MOÏSE KISLING,Unknown,Unknown,89.7,130.7,11723.79,Poland,1891-1953,1891,1953,1922,Abstract Expressionism,Abstract,150000,250000,200000,189000,Premium
Rythme Coloré,SONIA DELAUNAY,gouache,Gouache,37.5,56.9,2133.75,Ukraine,1885–1979,1885,1979,1932,Abstract Expressionism,Abstract,25000,35000,30000,44100,High
Composition ou New York,ALBERT GLEIZES,oil on canvas,Oil,118.0,91.2,10761.6,France,1881-1953,1881,1953,1917,Abstract Expressionism,Abstract,50000,70000,60000,69300,Premium
Sans titre (Tableau familier),ALBERT GLEIZES,Unknown,Unknown,65.2,92.7,6044.04,France,1881-1953,1881,1953,1917,Abstract Expressionism,Abstract,50000,70000,60000,81900,Premium
Figure,GEORGES VALMIER,oil on canvas,Oil,91.8,60.0,5508.0,France,1885-1937,1885,1937,1911,Abstract Expressionism,Abstract,60000,80000,70000,98280,Premium
La Belle et l'oiseau,ANDRÉ LHOTE,oil on canvas,Oil,46.2,30.8,1422.96,France,1885-1962,1885,1962,1924,Abstract Expressionism,Abstract,12000,18000,15000,37800,High
Le Village,ANDRÉ LHOTE,Unknown,Unknown,50.0,65.2,3260.0,France,1885-1962,1885,1962,1924,Abstract Expressionism,Abstract,40000,60000,50000,50400,High
Composition,AUGUSTE HERBIN,oil on canvas,Oil,92.0,72.5,6670.0,France,1882-1960,1882,1960,1921,Abstract Expressionism,Abstract,70000,100000,85000,151200,Premium
Les Immeubles,LÉOPOLD SURVAGE,oil on canvas,Oil,31.5,54.0,1701.0,Russia,1878-1968,1878,1968,1923,Abstract Expressionism,Abstract,15000,20000,17500,22680,High
Le Bal du 14 juillet,OSSIP ZADKINE,gouache,Gouache,68.3,52.4,3578.92,Belarus,1888-1967,1888,1967,1928,Abstract Expressionism,Abstract,50000,70000,60000,,
Sans titre,LÉOPOLD SURVAGE,oil on canvas,Oil,81.1,99.8,8093.78,Russia,1878-1968,1878,1968,1923,Abstract Expressionism,Abstract,40000,60000,50000,37800,High
Escalier,SAM SZAFRAN,Unknown,Unknown,50.4,32.6,1643.04,France,1934-2019,1934,2019,1976,Abstract Expressionism,Abstract,40000,60000,50000,75600,Premium
Silhouette masculine sous un arbre,LÉOPOLD SURVAGE,oil on canvas,Oil,59.8,73.3,4383.34,Russia,1878-1968,1878,1968,1923,Abstract Expressionism,Abstract,50000,70000,60000,,
Cavallo e cavaliere,MARINO MARINI,gouache,Gouache,32.8,23.2,760.96,Italy,1901-1980,1901,1980,1940,Abstract Expressionism,Abstract,15000,20000,17500,22680,High
Nature morte aux livres et pipe,TAMARA DE LEMPICKA,oil on canvas,Oil,21.7,26.8,581.56,Poland,1898-1980,1898,1980,1939,Abstract Expressionism,Abstract,15000,20000,17500,63000,Premium
Femme,ALBERT GLEIZES,Unknown,Unknown,88.8,69.0,6127.2,France,1881-1953,1881,1953,1917,Abstract Expressionism,Abstract,50000,70000,60000,90720,Premium
Nu à sa toilette ou Femme bleue à sa toilette ou Femme à la toilette,ALBERT GLEIZES,Unknown,Unknown,75.5,63.3,4779.15,France,1881-1953,1881,1953,1917,Abstract Expressionism,Abstract,40000,60000,50000,44100,High
La Solitude de l'Or,ETEL ADNAN,gouache,Gouache,12.4,2.0,24.8,Lebanon,1925-2021,1925,2021,1973,Abstract Expressionism,Abstract,50000,70000,60000,100800,Premium
Orphée charmant les animaux,RAOUL DUFY,Unknown,Unknown,62.5,172.5,10781.25,France,1877-1953,1877,1953,1915,Abstract Expressionism,Abstract,60000,80000,70000,37800,High
Personnage avec chien,KAREL APPEL,Unknown,Unknown,110.2,100.0,11020.0,Netherlands,1921-2006,1921,2006,1964,Abstract Expressionism,Abstract,150000,200000,175000,277200,Premium
