Title, artists_name, cost, approximate_estimate, material, size, country, period, style, genre
Fleurs,Alexander Calder,"EUR 98,280","EUR 35,000 - 55,000",gouache,74.8 x 109.2 cm,United States,1898-1976,Abstract Expressionism,Abstract
Nu dans l'atelier rouge de Vence,Raoul Dufy,"EUR 30,240","EUR 25,000 - 35,000",gouache,48 x 63.3 cm,France,1877-1953,Abstract Expressionism,Abstract
Nu étendu sur un divan rouge,Moïse Kisling,"EUR 189,000","EUR 150,000 - 250,000",N/A,89.7 x 130.7 cm,Poland,1891-1953,Abstract Expressionism,Abstract
Rythme Coloré,Sonia Delaunay,"EUR 44,100","EUR 25,000 - 35,000",gouache,37.5 x 56.9 cm,Ukraine,1885–1979,Abstract Expressionism,Abstract
Composition ou New York,ALBERT GLEIZES,"EUR 69,300","EUR 50,000 - 70,000",oil on canvas,118 x 91.2 cm,France,1881-1953,Abstract Expressionism,Abstract
Sans titre (Tableau familier),Albert Gleizes,"EUR 81,900","EUR 50,000 - 70,000",N/A,65.2 x 92.7 cm,France,1881-1953,Abstract Expressionism,Abstract
Figure,Georges Valmier,"EUR 98,280","EUR 60,000 - 80,000",oil on canvas,91.8 x 60 cm,France,1885-1937,Abstract Expressionism,Abstract
La Belle et l'oiseau,André Lhote,"EUR 37,800","EUR 12,000 - 18,000",oil on canvas,46.2 x 30.8 cm,France,1885-1962,Abstract Expressionism,Abstract
Le Village,André Lhote,"EUR 50,400","EUR 40,000 - 60,000",N/A,50 x 65.2 cm,France,1885-1962,Abstract Expressionism,Abstract
Composition,Auguste Herbin,"EUR 151,200","EUR 70,000 - 100,000",oil on canvas,92 x 72.5 cm,France,1882-1960,Abstract Expressionism,Abstract
Les Immeubles,Léopold Survage,"EUR 22,680","EUR 15,000 - 20,000",oil on canvas,31.5 x 54 cm,Russia,1878-1968,Abstract Expressionism,Abstract
Le Bal du 14 juillet,Ossip Zadkine,,"EUR 50,000 - 70,000",gouache,68.3 x 52.4 cm,Belarus,1888-1967,Abstract Expressionism,Abstract
Sans titre,Léopold Survage,"EUR 37,800","EUR 40,000 - 60,000",oil on canvas,81.1 x 99.8 cm,Russia,1878-1968,Abstract Expressionism,Abstract
Escalier,Sam Szafran,"EUR 75,600","EUR 40,000 - 60,000",N/A,50.4 x 32.6 cm,France,1934-2019,Abstract Expressionism,Abstract
Silhouette masculine sous un arbre,Léopold Survage,,"EUR 50,000 - 70,000",oil on canvas,59.8 x 73.3 cm,Russia,1878-1968,Abstract Expressionism,Abstract
Cavallo e cavaliere,Marino Marini,"EUR 22,680","EUR 15,000 - 20,000",gouache,32.8 x 23.2 cm,Italy,1901-1980,Abstract Expressionism,Abstract
Nature morte aux livres et pipe,Tamara de Lempicka,"EUR 63,000","EUR 15,000 - 20,000",oil on canvas,21.7 x 26.8 cm,Poland,1898-1980,Abstract Expressionism,Abstract
Femme,Albert Gleizes,"EUR 90,720","EUR 50,000 - 70,000",N/A,88.8 x 69 cm,France,1881-1953,Abstract Expressionism,Abstract
Nu à sa toilette ou Femme bleue à sa toilette ou Femme à la toilette,Albert Gleizes,"EUR 44,100","EUR 40,000 - 60,000",N/A,75.5 x 63.3 cm,France,1881-1953,Abstract Expressionism,Abstract
La Solitude de l'Or,Etel Adnan,"EUR 100,800","EUR 50,000 - 70,000",gouache,12.4 x 2 cm,Lebanon,1925-2021,Abstract Expressionism,Abstract
Orphée charmant les animaux,Raoul Dufy,"EUR 37,800","EUR 60,000 - 80,000",N/A,62.5 x 172.5 cm,France,1877-1953,Abstract Expressionism,Abstract
Personnage avec chien,Karel Appel,"EUR 277,200","EUR 150,000 - 200,000",N/A,110.2 x 100 cm,Netherlands,1921-2006,Abstract Expressionism,Abstract
Conte de pistils,František Kupka,"EUR 163,800","EUR 40,000 - 60,000",gouache,27 x 21.8 cm,Czech Republic,1871-1957,Abstract Expressionism,Abstract
Composition abstraite,Serge Poliakoff,"EUR 163,800","EUR 100,000 - 150,000",oil on canvas,60 x 73 cm,Russia,1900-1969,Abstract Expressionism,Abstract
Autoportrait à l'âne vert ou Variante de L'âme de la ville,Marc Chagall,"EUR 214,200","EUR 130,000 - 180,000",N/A,27.8 x 25.8 cm,Belarus,1887-1985,Abstract Expressionism,Abstract
Sans titre,Zao Wou-Ki,"EUR 47,880","EUR 40,000 - 60,000",N/A,104.5 x 103.5 cm,China,1920-2013,Abstract Expressionism,Abstract
降魔 (Gouma),Kazuo Shiraga,"EUR 945,000","EUR 400,000 - 600,000",oil on canvas,N/A,Japan,1924-2008,Abstract Expressionism,Abstract
Sans titre,Chu Teh-Chun,"EUR 415,800","EUR 350,000 - 550,000",oil on canvas,96.5 x 130 cm,China,1920-2014,Abstract Expressionism,Abstract
Bruyère,Enrico Donati,"EUR 75,600","EUR 40,000 - 60,000",oil on canvas,63.5 x 76.5 cm,Italy,1909-2008,Abstract Expressionism,Abstract
Reflets,Jacqueline Lamba,"EUR 47,880","EUR 15,000 - 25,000",oil on canvas,72.7 x 92 cm,France,1910-1993,Abstract Expressionism,Abstract
Portrait de Ljuba Rosa Rizzoli,Leonor Fini,"EUR 95,760","EUR 80,000 - 120,000",oil on canvas,81.2 x 54.3 cm,Argentina,1907-1996,Abstract Expressionism,Portrait
Pour les Ramié,Pablo Picasso,"EUR 10,710","EUR 6,000 - 8,000",N/A,26.5 x 26.3 cm,Spain,1881-1973,Abstract Expressionism,Abstract
Nu debout,Henri Matisse,"EUR 30,240","EUR 40,000 - 60,000",N/A,66.6 x 25.5 cm,France,1869-1954,Abstract Expressionism,Abstract
Portrait de Nézy,Henri Matisse,"EUR 94,500","EUR 60,000 - 80,000",N/A,40.1 x 50.6 cm,France,1869-1954,Abstract Expressionism,Abstract
Brustbild eines jungen Mannes,Egon Schiele,,"EUR 70,000 - 100,000",N/A,46 x 29.5 cm,Austria,1890-1918,Abstract Expressionism,Abstract
"Oiseau, étoile",Joan Miró,"EUR 69,300","EUR 50,000 - 70,000",N/A,47 x 58 cm,Spain,1893-1983,Abstract Expressionism,Abstract
Femmes,Joan Miró,"EUR 151,200","EUR 70,000 - 100,000",gouache,25 x 33 cm,Spain,1893-1983,Abstract Expressionism,Abstract
Peinture no. VIII,Michel Parmentier,"EUR 22,680","EUR 20,000 - 30,000",acrylic,239.5 x 179.5 cm,France,1938-2000,Abstract Expressionism,Abstract
Laissée,Simon Hantaï,"EUR 226,800","EUR 200,000 - 300,000",oil on canvas,154.4 x 130.2 cm,Hungary,1922-2008,Abstract Expressionism,Abstract
"Tied-Up Torso, Ramatuelle, 1981",Helmut Newton,"EUR 50,400","EUR 40,000 - 60,000",N/A,49.3 x 48 cm,Germany,1920-2004,Abstract Expressionism,Abstract
Portrait imaginaire de Goya,Antonio Saura,"EUR 176,400","EUR 80,000 - 120,000",oil on canvas,162 x 130.4 cm,Spain,1930-1998,Abstract Expressionism,Abstract
"Hercule et Antée, copie d’après Pollaiolo",Henri Matisse,"EUR 60,480","EUR 30,000 - 50,000",N/A,59 x 44.9 cm,France,1869-1954,Abstract Expressionism,Abstract
Femme nue allongée et homme jouant de la flûte de Pan,Pablo Picasso,"EUR 69,300","EUR 25,000 - 35,000",N/A,24.2 x 31.7 cm,Spain,1881-1973,Abstract Expressionism,Abstract
Matière sur carton,Antoni Tàpies,"EUR 163,800","EUR 50,000 - 70,000",N/A,46 x 55 cm,Spain,1923-2012,Abstract Expressionism,Abstract
Le Lit,Paul Delvaux,"EUR 69,300","EUR 50,000 - 70,000",gouache,43.3 x 54.5 cm,Belgium,1897-1994,Abstract Expressionism,Abstract
Site avec 6 personnages,Jean Dubuffet,"EUR 163,800","EUR 100,000 - 150,000",N/A,50.4 x 68.2 cm,France,1901-1985,Abstract Expressionism,Abstract
Sans titre,Günther Förg,"EUR 98,280","EUR 80,000 - 120,000",acrylic,220.5 x 170.5 cm,Germany,1952-2013,Abstract Expressionism,Abstract
Opus 124 CX,Gérard Schneider,"EUR 88,200","EUR 60,000 - 80,000",oil on canvas,130 x 162 cm,Switzerland,1896-1986,Abstract Expressionism,Abstract
T1976 - H11,Hans Hartung,"EUR 138,600","EUR 60,000 - 80,000",acrylic,138.5 x 95 cm,Germany,1904-1989,Abstract Expressionism,Abstract
Opus 90 D,Gérard Schneider,"EUR 27,720","EUR 40,000 - 60,000",oil on canvas,100 x 81 cm,Switzerland,1896-1986,Abstract Expressionism,Abstract
La ville brûlée,Maria Helena Vieira da Silva,"EUR 189,000","EUR 150,000 - 200,000",oil on canvas,130 x 80.5 cm,Portugal,1908-1992,Abstract Expressionism,Abstract
Bouquet sur un guéridon,Bernard Buffet,"EUR 126,000","EUR 50,000 - 70,000",oil on canvas,64.9 x 49.8 cm,France,1928-1999,Abstract Expressionism,Abstract
Crâne et bouteilles,Bernard Buffet,,"EUR 100,000 - 150,000",oil on canvas,96.8 x 162 cm,France,1928-1999,Abstract Expressionism,Abstract
La Tour Saint-Jacques,Bernard Buffet,"EUR 352,800","EUR 200,000 - 350,000",oil on canvas,114 x 146.4 cm,France,1928-1999,Abstract Expressionism,Abstract
"Les Grands Arbres, environs d'Honfleur",Félix Vallotton,"EUR 504,000","EUR 400,000 - 600,000",oil on canvas,100 x 73 cm,Switzerland,1865-1925,Abstract Expressionism,Abstract
Obias,Bernard Frize,"EUR 100,800","EUR 65,000 - 85,000",acrylic,173 x 173 cm,France,né en 1949,Abstract Expressionism,Abstract
Homage to the Square [Night Starts],Josef Albers,"EUR 378,000","EUR 150,000 - 250,000",N/A,60.9 x 60.9 cm,Germany,1888-1976,Abstract Expressionism,Abstract
Vegalom,Victor Vasarely,"EUR 113,400","EUR 40,000 - 60,000",acrylic,80 x 80 cm,Hungary,1906-1997,Abstract Expressionism,Abstract
Physichromie 1152,Carlos Cruz-Diez,"EUR 126,000","EUR 100,000 - 150,000",N/A,80.5 x 159.8 cm,Venezuela,1923-2019,Abstract Expressionism,Abstract
Svelare e rivelare,Alighiero Boetti,"EUR 57,960","EUR 30,000 - 50,000",N/A,22.5 x 23.5 cm,Italy,1940-1994,Abstract Expressionism,Abstract
Entre chien et loup,Alighiero Boetti,"EUR 37,800","EUR 25,000 - 35,000",N/A,17 x 17.2 cm,Italy,1940-1994,Abstract Expressionism,Abstract
Spirale,Mimmo Rotella,"EUR 69,300","EUR 50,000 - 70,000",N/A,70.3 x 69 cm,Italy,1918-2006,Abstract Expressionism,Abstract
Interno + Esterno,Mario Schifano,"EUR 30,240","EUR 15,000 - 20,000",N/A,120 x 95 cm,Italy,1934-1998,Abstract Expressionism,Abstract
Foro mm 3 (Tautologia),Luciano Fabro,"EUR 18,900","EUR 40,000 - 60,000",N/A,70 x 2.5 cm,Italy,1936-2007,Abstract Expressionism,Abstract
Roma – Campidoglio – Simmetrie,Vettor Pisani,"EUR 9,450","EUR 7,000 - 10,000",N/A,39 x 26 cm,Italy,1934-2011,Abstract Expressionism,Abstract
Sans titre,Mario Merz,"EUR 75,600","EUR 70,000 - 100,000",N/A,69.7 x 99.7 cm,Italy,1925-2003,Abstract Expressionism,Abstract
Stella,Gilberto Zorio,"EUR 44,100","EUR 25,000 - 35,000",N/A,56 x 60 cm,Italy,né en 1944,Abstract Expressionism,Abstract
Sans titre,Jannis Kounellis,"EUR 189,000","EUR 100,000 - 150,000",N/A,180 x 15 cm,Greece,1936-2017,Abstract Expressionism,Abstract
"Senza titolo (Entrare nell’opera), Versione #4",Giovanni Anselmo,"EUR 78,120","EUR 40,000 - 60,000",N/A,70 x 100 cm,Italy,1934-2013,Abstract Expressionism,Abstract
Da Goya,Emilio Prini,"EUR 15,750","EUR 7,000 - 10,000",N/A,71 x 49 cm,Italy,1943-2016,Abstract Expressionism,Portrait
Sans titre,Mario Merz,"EUR 75,600","EUR 40,000 - 60,000",N/A,80 x 7.5 cm,Italy,1925-2003,Abstract Expressionism,Abstract
Sans titre (The engine underneath the press …),Raymond Pettibon,,"EUR 80,000 - 120,000",gouache,132 x 174 cm,Unknown,né en 1957,Abstract Expressionism,Abstract
AEA,Paul McCarthy,"EUR 100,800","EUR 80,000 - 120,000",N/A,121.5 x 91 cm,Unknown,né en 1945,Abstract Expressionism,Abstract
Camo BW-2C-M3,Invader,"EUR 75,600","EUR 40,000 - 60,000",N/A,47.4 x 49.9 cm,Unknown,né en 1969,Abstract Expressionism,Abstract
In memory of Frank Gehry's flowers,Sophie Calle,"EUR 41,580","EUR 10,000 - 15,000",N/A,N/A,Unknown,née en 1953,Abstract Expressionism,Abstract
Pôle sud,William Kentridge,"EUR 100,800","EUR 80,000 - 120,000",N/A,71.5 x 128.5 cm,Unknown,né en 1955,Abstract Expressionism,Abstract
"Tête, squelette",Annette Messager,"EUR 7,560","EUR 6,000 - 8,000",N/A,34 x 30 cm,Unknown,née en 1943,Abstract Expressionism,Abstract
What did she say ?,David Lynch,"EUR 69,300","EUR 35,000 - 45,000",acrylic,120 x 5.7 cm,Unknown,né en 1946,Abstract Expressionism,Abstract
Games of the Sun-God,Waone,"EUR 20,160","EUR 6,000 - 8,000",oil on canvas,139.5 x 209.8 cm,Unknown,né en 1981,Abstract Expressionism,Abstract
17th Street,Olivier Mosset,,"EUR 30,000 - 50,000",N/A,152.4 x 183 cm,Unknown,né en 1944,Abstract Expressionism,Abstract
Fruit du lotus,John Armleder,"EUR 31,500","EUR 30,000 - 50,000",acrylic,225 x 150 cm,Unknown,né en 1948,Abstract Expressionism,Abstract
F. Kafka - Zurau,Jean-Michel Alberola,"EUR 20,160","EUR 15,000 - 20,000",oil on canvas,109.9 x 100.1 cm,Unknown,né en 1953,Abstract Expressionism,Abstract
L'Arc-en-ciel,Félix Vallotton,"EUR 98,280","EUR 40,000 - 60,000",N/A,34.7 x 28 cm,Switzerland,1865-1925,Abstract Expressionism,Abstract
Nature morte,André Derain,"EUR 119,700","EUR 50,000 - 70,000",oil on canvas,50.4 x 71.2 cm,Unknown,1880-1954,Abstract Expressionism,Abstract
Les Bords du Nil,Émile Bernard,"EUR 25,200","EUR 20,000 - 30,000",oil on canvas,59.4 x 40.1 cm,Unknown,1868-1941,Abstract Expressionism,Abstract
Les Moutons noirs,Georges Lacombe,"EUR 63,000","EUR 40,000 - 60,000",N/A,54.4 x 73 cm,Unknown,1868-1916,Abstract Expressionism,Abstract
"Pommes, coing et grenade sur un linge",Pierre-Auguste Renoir,"EUR 176,400","EUR 150,000 - 250,000",oil on canvas,22 x 32.5 cm,Unknown,1841-1919,Abstract Expressionism,Abstract
Madame Marie Desjardins,Kees van Dongen,"EUR 239,400","EUR 100,000 - 150,000",oil on canvas,49.2 x 73 cm,Unknown,1877-1968,Abstract Expressionism,Abstract
L'Enfant à la capuche,Pierre-Auguste Renoir,"EUR 327,600","EUR 200,000 - 300,000",oil on canvas,29 x 27 cm,Unknown,1841-1919,Abstract Expressionism,Portrait
Baigneuses,Berthe Morisot,"EUR 189,000","EUR 70,000 - 100,000",oil on canvas,41.1 x 33.1 cm,Unknown,1841-1895,Abstract Expressionism,Abstract
Nu de dos,Pierre-Auguste Renoir,"EUR 132,300","EUR 20,000 - 30,000",oil on canvas,21.5 x 13 cm,Unknown,1841-1919,Abstract Expressionism,Abstract
Madame Vuillard sous la suspension verte,Édouard Vuillard,"EUR 365,400","EUR 200,000 - 300,000",N/A,26.6 x 21.5 cm,Unknown,1868-1940,Abstract Expressionism,Abstract
"Portrait de Geneviève au chapeau de paille, nièce du peintre",André Derain,"EUR 69,300","EUR 30,000 - 50,000",oil on canvas,61 x 50.1 cm,Unknown,1880-1954,Abstract Expressionism,Abstract
Femme allongée,Adolphe Joseph Thomas Monticelli,"EUR 4,788","EUR 2,000 - 3,000",N/A,18.6 x 26.1 cm,Unknown,1824-1886,Abstract Expressionism,Abstract
La Joie de vivre,Suzanne Valadon,"EUR 302,400","EUR 120,000 - 180,000",N/A,54.5 x 80 cm,Unknown,1865-1938,Abstract Expressionism,Abstract
"Julie, la Martiniquaise",Jules Pascin,"EUR 47,880","EUR 25,000 - 35,000",N/A,92 x 73 cm,Unknown,1885-1930,Abstract Expressionism,Abstract
Nu,Eugène Leroy,"EUR 32,760","EUR 30,000 - 50,000",oil on canvas,100.4 x 81.4 cm,Unknown,1910-2000,Abstract Expressionism,Abstract
Portrait de femme drapée de rouge,Félix Vallotton,"EUR 554,400","EUR 150,000 - 200,000",oil on canvas,80.9 x 65 cm,Switzerland,1865-1925,Abstract Expressionism,Portrait
Suzanne et les vieillards,Paul Sérusier,"EUR 113,400","EUR 50,000 - 70,000",oil on canvas,81 x 54.4 cm,Unknown,1863-1927,Abstract Expressionism,Abstract
